"stock","year","mean","lower","upper","cv"
"NorthernYukonR.andtribs.","1985",1242.77968509684,669.565270568935,1815.99409962475,0.230617872741957
"NorthernYukonR.andtribs.","1986",2479.44799696038,1561.1381672883,3397.75782663247,0.185184329495489
"NorthernYukonR.andtribs.","1987",1864.44068029642,1234.07874629916,2494.80261429368,0.169048535750957
"NorthernYukonR.andtribs.","1988",10680.034121397,4878.26801498205,16481.800227812,0.271617395621957
"NorthernYukonR.andtribs.","1989",2160.70469118872,659.006642500718,3662.40273987671,0.347501917964975
"NorthernYukonR.andtribs.","1990",9645.38244289416,4239.83508001931,15050.929805769,0.28021425769681
"NorthernYukonR.andtribs.","1991",7446.20480504973,5265.59827656065,9626.81133353884,0.14642402308155
"NorthernYukonR.andtribs.","1992",6902.53553343937,4077.30115822326,9727.76990865549,0.204651925479359
"NorthernYukonR.andtribs.","1993",17063.1269773062,12493.7797494177,21632.4742051948,0.133895364957599
"NorthernYukonR.andtribs.","1994",15522.8424748998,11274.0104622076,19771.6744875921,0.136857409316706
"NorthernYukonR.andtribs.","1995",9209.98021434392,6383.90685836058,12036.0535703273,0.153424507448015
"NorthernYukonR.andtribs.","1996",4358.68341935417,2645.38213786926,6071.98470083909,0.196538853209345
"NorthernYukonR.andtribs.","1997",4880.1131485358,3320.2385666553,6439.98773041632,0.159819509753429
"NorthernYukonR.andtribs.","1998",5001.30459103835,2845.0098089279,7157.59937314882,0.215573231229932
"NorthernYukonR.andtribs.","1999",2553.73923760364,1653.64654220278,3453.83193300451,0.176230345320121
"NorthernYukonR.andtribs.","2000",2714.81674811676,1814.64736483568,3614.98613139786,0.165788240385936
"NorthernYukonR.andtribs.","2001",7242.30762573228,4278.63915627955,10205.976095185,0.204608021545694
"NorthernYukonR.andtribs.","2002",9268.48590559479,6456.66555008874,12080.3062611009,0.151687146322829
"NorthernYukonR.andtribs.","2003",7438.66006113605,5311.94994613352,9565.37017613861,0.142949812030915
"NorthernYukonR.andtribs.","2004",11228.1877178991,8479.55321035092,13976.8222254474,0.122398849066558
"NorthernYukonR.andtribs.","2005",10025.4698879914,7813.18294623609,12237.7568297468,0.110333329333782
"NorthernYukonR.andtribs.","2006",11591.8738534302,7960.44897153062,15223.2987353297,0.156636663227015
"NorthernYukonR.andtribs.","2007",4771.34703501086,3375.91493631445,6166.77913370728,0.146230413388202
"NorthernYukonR.andtribs.","2008",5473.30330304826,4767.58306862312,6179.02353747343,0.0644693154527098
"NorthernYukonR.andtribs.","2009",7250.44838666157,5990.67109483245,8510.22567849071,0.0868758195801175
"NorthernYukonR.andtribs.","2010",2289.26642350052,1297.49299058466,3281.03985641637,0.216613807535633
"NorthernYukonR.andtribs.","2011",4346.6867523436,3604.06382396953,5089.30968071768,0.0854240218683436
"NorthernYukonR.andtribs.","2012",4492.1774897138,3155.88027784013,5828.47470158748,0.14873602110931
"NorthernYukonR.andtribs.","2013",259.411472115142,10.0030271264918,508.819917103793,0.480719767239029
"NorthernYukonR.andtribs.","2014",5420.89955114764,4072.64855092798,6769.15055136733,0.124356759196381
"NorthernYukonR.andtribs.","2015",6122.95593001394,4947.31547406948,7298.59638595843,0.0960026880302726
"NorthernYukonR.andtribs.","2016",7376.30627447024,5993.77850604401,8758.83404289649,0.093714097339697
"NorthernYukonR.andtribs.","2017",6483.92697084368,4959.58273846634,8008.27120322105,0.11754791804657
