"CU_f","CU_pretty","year","contr"
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1985,3.77134848413573
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1986,6.31655917537368
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1987,7.40043334058363
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1988,24.3764603040044
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1989,7.48476551641275
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1990,23.1154578440168
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1991,15.7338178851805
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1992,12.4457741050065
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1993,22.3892335566469
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1994,24.3221488235897
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1995,12.4771380272426
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1996,8.0354579160135
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1997,10.3016956143521
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1998,14.049702054419
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",1999,9.76889130107471
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2000,8.72057130087524
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2001,11.6531995850615
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2002,13.3313643259975
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2003,19.9828713333875
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2004,19.8782589646516
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2005,14.2699879006952
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2006,15.7125612911583
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2007,13.5476557389721
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2008,16.3883978583467
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2009,9.64558117590464
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2010,11.5413326818958
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2011,8.52107562476169
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2012,12.7590343946137
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2013,1.4628938716793
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2014,8.19783816700128
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2015,6.58176287986668
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2016,9.74991998820479
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2017,8.74828341245636
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2018,8.89594724096272
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2019,5.45010620486764
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2020,5.54858102012399
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2021,9.59549546048428
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2022,4.266070115911
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2023,13.2717401842764
"NorthernYukonR.andtribs.","Northern Yukon R. and tribs.",2024,10.4435041937733
"Whiteandtribs.","White and tribs.",1985,5.0520158334445
"Whiteandtribs.","White and tribs.",1986,7.72715151162546
"Whiteandtribs.","White and tribs.",1987,6.36340175848837
"Whiteandtribs.","White and tribs.",1988,3.19126570151664
"Whiteandtribs.","White and tribs.",1989,3.52788261989656
"Whiteandtribs.","White and tribs.",1990,2.01065579311359
"Whiteandtribs.","White and tribs.",1991,1.6541823676001
"Whiteandtribs.","White and tribs.",1992,6.37883795460463
"Whiteandtribs.","White and tribs.",1993,16.9466278707584
"Whiteandtribs.","White and tribs.",1994,9.90821805612139
"Whiteandtribs.","White and tribs.",1995,5.46753615898364
"Whiteandtribs.","White and tribs.",1996,13.7829721354639
"Whiteandtribs.","White and tribs.",1997,5.80001403024572
"Whiteandtribs.","White and tribs.",1998,6.69427722933006
"Whiteandtribs.","White and tribs.",1999,8.83743263613721
"Whiteandtribs.","White and tribs.",2000,9.92537111402605
"Whiteandtribs.","White and tribs.",2001,7.65336605738743
"Whiteandtribs.","White and tribs.",2002,5.51105344782482
"Whiteandtribs.","White and tribs.",2003,5.49766165001067
"Whiteandtribs.","White and tribs.",2004,5.9567422529179
"Whiteandtribs.","White and tribs.",2005,20.1095040153223
"Whiteandtribs.","White and tribs.",2006,2.23506437005529
"Whiteandtribs.","White and tribs.",2007,9.06849243976534
"Whiteandtribs.","White and tribs.",2008,6.57641242434376
"Whiteandtribs.","White and tribs.",2009,4.7095299549214
"Whiteandtribs.","White and tribs.",2010,4.26194424318357
"Whiteandtribs.","White and tribs.",2011,5.0021083758022
"Whiteandtribs.","White and tribs.",2012,8.59330297332995
"Whiteandtribs.","White and tribs.",2013,0.535683989487949
"Whiteandtribs.","White and tribs.",2014,8.37988840098692
"Whiteandtribs.","White and tribs.",2015,6.8631910750204
"Whiteandtribs.","White and tribs.",2016,3.74997645134822
"Whiteandtribs.","White and tribs.",2017,4.96114369608952
"Whiteandtribs.","White and tribs.",2018,5.15005611193622
"Whiteandtribs.","White and tribs.",2019,5.77094832910355
"Whiteandtribs.","White and tribs.",2020,1.68962283436127
"Whiteandtribs.","White and tribs.",2021,4.27040610283185
"Whiteandtribs.","White and tribs.",2022,18.9765706222071
"Whiteandtribs.","White and tribs.",2023,6.72182418920763
"Whiteandtribs.","White and tribs.",2024,3.23144395812556
"Pelly","Pelly",1985,17.7012546739217
"Pelly","Pelly",1986,20.2627503672945
"Pelly","Pelly",1987,28.4720562235515
"Pelly","Pelly",1988,12.9758486020334
"Pelly","Pelly",1989,26.9452267235109
"Pelly","Pelly",1990,36.9430789633604
"Pelly","Pelly",1991,19.6704679129847
"Pelly","Pelly",1992,21.4730701212712
"Pelly","Pelly",1993,14.6154194204855
"Pelly","Pelly",1994,16.4484887051955
"Pelly","Pelly",1995,11.2371940000169
"Pelly","Pelly",1996,13.1278351233307
"Pelly","Pelly",1997,11.9464351275075
"Pelly","Pelly",1998,10.5265979495812
"Pelly","Pelly",1999,15.5983411573609
"Pelly","Pelly",2000,18.2242804093209
"Pelly","Pelly",2001,17.7675501176421
"Pelly","Pelly",2002,12.0701678284494
"Pelly","Pelly",2003,24.2411431272907
"Pelly","Pelly",2004,19.0068242410925
"Pelly","Pelly",2005,16.6122950453118
"Pelly","Pelly",2006,19.3738446468739
"Pelly","Pelly",2007,22.8645803199912
"Pelly","Pelly",2008,13.4880842536501
"Pelly","Pelly",2009,22.8416193075318
"Pelly","Pelly",2010,22.1186679795778
"Pelly","Pelly",2011,18.3740878077341
"Pelly","Pelly",2012,19.5746684360836
"Pelly","Pelly",2013,37.9148141470831
"Pelly","Pelly",2014,11.3000062429241
"Pelly","Pelly",2015,20.0866721233109
"Pelly","Pelly",2016,19.3424687654865
"Pelly","Pelly",2017,12.9124502780945
"Pelly","Pelly",2018,13.8529631864594
"Pelly","Pelly",2019,11.2753074858063
"Pelly","Pelly",2020,21.4371368088825
"Pelly","Pelly",2021,19.3112109509873
"Pelly","Pelly",2022,7.90530479025168
"Pelly","Pelly",2023,12.5443336742355
"Pelly","Pelly",2024,7.22528619152756
"Stewart","Stewart",1985,13.8669465820835
"Stewart","Stewart",1986,11.232863177804
"Stewart","Stewart",1987,8.13936865341225
"Stewart","Stewart",1988,5.47696109797629
"Stewart","Stewart",1989,6.30131912048852
"Stewart","Stewart",1990,6.38214859828913
"Stewart","Stewart",1991,8.41380946536808
"Stewart","Stewart",1992,6.1221329396782
"Stewart","Stewart",1993,3.71535940753121
"Stewart","Stewart",1994,8.79950363090121
"Stewart","Stewart",1995,10.209622669064
"Stewart","Stewart",1996,6.12227075164995
"Stewart","Stewart",1997,7.1860938195013
"Stewart","Stewart",1998,7.00073668994124
"Stewart","Stewart",1999,6.36423042325875
"Stewart","Stewart",2000,5.91787739206131
"Stewart","Stewart",2001,8.52299736656328
"Stewart","Stewart",2002,8.4356853732812
"Stewart","Stewart",2003,3.93880663108277
"Stewart","Stewart",2004,6.04296434522668
"Stewart","Stewart",2005,3.75830267589388
"Stewart","Stewart",2006,10.2048881224792
"Stewart","Stewart",2007,8.37261558884678
