"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
1985,1690.32,2303.94,3160.21,6297.63,7715.27,9296.53,"Big.Salmon","Big.Salmon"
1986,2718.75,3630.8,4780.37,10344.69,12018.1,13862.52,"Big.Salmon","Big.Salmon"
1987,1416.43,1894.29,2535.75,5215.51,6254.06,7462.93,"Big.Salmon","Big.Salmon"
1988,892.61,1191.73,1596.87,5096.65,6154.28,7392.53,"Big.Salmon","Big.Salmon"
1989,2350,3095.11,4055.24,14667.65,16965.4,19595.45,"Big.Salmon","Big.Salmon"
1990,1282.43,1735.92,2358.55,5445.09,6885.48,8570.5,"Big.Salmon","Big.Salmon"
1991,3336.7,4382.13,5723.99,14403.14,16782.82,19510.73,"Big.Salmon","Big.Salmon"
1992,1572.55,2146.17,2952.31,3485.56,4508.57,5727.36,"Big.Salmon","Big.Salmon"
1993,1728.06,2295.65,3066.1,5811.66,6787,7925.1,"Big.Salmon","Big.Salmon"
1994,1684.93,2242.63,3010.07,5722.36,6839.64,8191.34,"Big.Salmon","Big.Salmon"
1995,4097.12,5473.4,7211.36,8133.65,9640.85,11405.07,"Big.Salmon","Big.Salmon"
1996,2733.57,3677.13,4930.03,6175.73,7460.33,8965.62,"Big.Salmon","Big.Salmon"
1997,4348.86,5995.41,8184.17,5679.78,6792.3,8093.95,"Big.Salmon","Big.Salmon"
1998,1075.9,1442.85,1920.71,5790.99,6831.48,8051.18,"Big.Salmon","Big.Salmon"
1999,1510.08,2003.63,2670.81,6882.12,7963.63,9141.29,"Big.Salmon","Big.Salmon"
2000,2702.35,3625.31,4868.43,8922.04,10243.45,11613.82,"Big.Salmon","Big.Salmon"
2001,4616.32,5985.75,7747.02,12800.05,14215.91,15753.82,"Big.Salmon","Big.Salmon"
2002,2646.14,3613.74,5002.43,4642.2,5490.36,6413.52,"Big.Salmon","Big.Salmon"
2003,2563.16,3393.6,4492.35,8892.91,9860.02,10898.47,"Big.Salmon","Big.Salmon"
2004,2139.39,2828.16,3760.04,6373.4,7265.45,8249.61,"Big.Salmon","Big.Salmon"
2005,5255.08,5595.33,5958.06,8149.57,9012.45,9927.38,"Big.Salmon","Big.Salmon"
2006,6825.34,7273.69,7746,5131.1,5737.88,6386.08,"Big.Salmon","Big.Salmon"
2007,4211.73,4484.93,4788.57,4332.8,4808.81,5316.27,"Big.Salmon","Big.Salmon"
2008,1266.31,1349.12,1436.76,3813.06,4341.64,4919.02,"Big.Salmon","Big.Salmon"
2009,8558.47,9098.11,9679.31,8246.37,9133.39,10041.55,"Big.Salmon","Big.Salmon"
2010,3574.95,3812.14,4067.13,5655.78,6465.88,7337.92,"Big.Salmon","Big.Salmon"
