"brood_year","lwr","mid","upr","CU","model"
1985,0.00865745468794953,0.0136138388920552,0.0210294914246469,"Big.Salmon","em"
1986,0.00951131460459209,0.0144109020192323,0.0221359754806285,"Big.Salmon","em"
1987,0.00881241450843992,0.0135540680625833,0.0209972138174585,"Big.Salmon","em"
1988,0.00929883434819514,0.0144749083539756,0.0227271872837676,"Big.Salmon","em"
1989,0.0103771446770561,0.0164180639917944,0.0262816532336969,"Big.Salmon","em"
1990,0.00930271192482374,0.0147602412530222,0.0232234858070297,"Big.Salmon","em"
1991,0.00981836949328116,0.0151981980234118,0.0231338777236351,"Big.Salmon","em"
1992,0.00789612843653595,0.0119172231446355,0.0174968544089484,"Big.Salmon","em"
1993,0.0075463024301304,0.0113674873546218,0.0169607535780039,"Big.Salmon","em"
1994,0.00662080952753278,0.0102745488912775,0.015507909815445,"Big.Salmon","em"
1995,0.00678093940737404,0.010738506782187,0.0165961191087353,"Big.Salmon","em"
1996,0.0072678286108321,0.0113077749338492,0.0174293685232567,"Big.Salmon","em"
1997,0.00766109314483454,0.0119156847180718,0.0183686879458766,"Big.Salmon","em"
1998,0.00762897688916249,0.011424469464014,0.017020891411804,"Big.Salmon","em"
1999,0.00685554686568643,0.0100078826915793,0.014674896433993,"Big.Salmon","em"
2000,0.00661780899743774,0.00958807184420719,0.0138729816756427,"Big.Salmon","em"
2001,0.00622936302372977,0.00919009143406175,0.013694373441597,"Big.Salmon","em"
2002,0.00481194527664065,0.00730495629626352,0.0113133591699983,"Big.Salmon","em"
2003,0.00491208894384293,0.00744545975002447,0.0113797339904516,"Big.Salmon","em"
2004,0.00459843838160474,0.00687010069593651,0.010415823531947,"Big.Salmon","em"
2005,0.00459249195648704,0.00671977386607983,0.00974215529929356,"Big.Salmon","em"
2006,0.00401153854781648,0.00587720700091475,0.00867057562538359,"Big.Salmon","em"
2007,0.00408725789266465,0.00583580037266213,0.00828294637046083,"Big.Salmon","em"
2008,0.00497408149465054,0.00694294481882039,0.00961478041529228,"Big.Salmon","em"
2009,0.00496404035080629,0.00705561241131926,0.0102232045201027,"Big.Salmon","em"
2010,0.00480541061735941,0.00681515353926909,0.00975706789875874,"Big.Salmon","em"
2011,0.00489242815948236,0.00703976646936163,0.010199303730311,"Big.Salmon","em"
