"","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat","CU"
"lnalpha",-5.43675615205466,0.0296413710961821,0.971830994834476,-7.98155683052917,-5.2776150345014,-3.82187685295216,1074.94171028794,1.00056344230175,"Big.Salmon"
"beta",3.0238263324941e-07,2.37998419895773e-09,8.09688269395132e-08,1.368349772995e-07,3.03189665993423e-07,4.50423778403803e-07,1157.41084456761,1.00574833922016,"Big.Salmon"
"phi",0.839727436896393,0.00327788575415389,0.120528792911917,0.55523354454105,0.86598430533145,0.990937224331764,1352.05384853169,1.00133091679449,"Big.Salmon"
"lnalpha1",-5.5061662408535,0.0184760182581592,0.775676132439404,-7.38048523079321,-5.40830998550322,-4.20055447761436,1762.56073623906,1.00067780950118,"MiddleYukonR.andtribs."
"beta1",9.29072904943876e-08,4.6154659455866e-10,2.99097275699734e-08,3.86677283214934e-08,9.11530704197668e-08,1.56244396449501e-07,4199.46351772996,1.00004409465741,"MiddleYukonR.andtribs."
"phi1",0.782851533505974,0.00267706065533832,0.136306131305548,0.479957867666556,0.796593465800072,0.984208699088979,2592.47370857926,1.00268194399053,"MiddleYukonR.andtribs."
"lnalpha2",-4.05185595664166,0.0049464824055722,0.30847549335527,-4.69112614156299,-4.04401563886341,-3.46615219246658,3889.09361878232,0.999687798430317,"Nordenskiold"
"beta2",1.49447945167171e-06,3.17548321773246e-09,2.26165438486862e-07,1.04994793546104e-06,1.49385217226406e-06,1.94954316313333e-06,5072.62589083942,0.999384554339186,"Nordenskiold"
"phi2",0.266771653894964,0.00453691065205091,0.211027857008773,-0.0641211603664143,0.256689305080314,0.710029224099412,2163.51108302311,1.00058598833781,"Nordenskiold"
"lnalpha3",-5.66842636299024,0.0237189079818876,0.953320817898579,-8.05513137474487,-5.5152001780584,-4.12452345773445,1615.43234150548,1.00033403015094,"NorthernYukonR.andtribs."
"beta3",1.80392846729334e-07,4.57541316064311e-10,3.29741472141476e-08,1.1614699812817e-07,1.79491699614854e-07,2.4663951982665e-07,5193.81541451176,1.0005655266867,"NorthernYukonR.andtribs."
"phi3",0.855489511446346,0.00182188975163548,0.0895103833314671,0.654187502974546,0.867262647071519,0.986775793398898,2413.80758832285,1.00060334937592,"NorthernYukonR.andtribs."
"lnalpha4",-5.78172028766501,0.0303796701700083,1.02649972051495,-8.18391798534964,-5.65178367744093,-3.87117654065036,1141.69884586208,1.00090820141586,"Pelly"
"beta4",1.37448860472449e-07,5.44539572796777e-10,2.90312432505877e-08,8.35846358615881e-08,1.37776522328496e-07,1.95521327540963e-07,2842.31611127032,1.0031907835632,"Pelly"
"phi4",0.867086318289086,0.00227440212374445,0.0985646254463305,0.631167408323994,0.888024360245922,0.993214173375813,1878.05214881928,1.00054353287449,"Pelly"
"lnalpha5",-5.1484023998315,0.0220353754207881,0.68319269632447,-6.95454832908068,-5.08387890548118,-4.06400648203566,961.270294106323,1.00498240858006,"Stewart"
"beta5",4.99659528958048e-07,3.79057747801062e-09,1.60508600755508e-07,1.66330767372809e-07,5.02902673862442e-07,8.09551505371992e-07,1793.02300519059,1.00079135553351,"Stewart"
"phi5",0.689667159007293,0.00465500547062869,0.178078415769822,0.270202427906607,0.707681111721556,0.970169741833814,1463.46444413299,1.00226324731963,"Stewart"
"lnalpha6",-5.13090241732086,0.0119212126264961,0.394976643752923,-5.8811612883383,-5.11679356853368,-4.48296395867028,1097.74624969453,1.00082097824887,"UpperYukonR."
"beta6",2.96006467301511e-07,9.78402618835696e-10,6.49665091711767e-08,1.72015124073741e-07,2.95481159448844e-07,4.30589237523098e-07,4409.0380839967,0.999632854019434,"UpperYukonR."
"phi6",0.451857129180107,0.00546586920011951,0.205004816897416,0.0449188799278462,0.456791878632098,0.859279954172513,1406.72647728939,1.00054198680717,"UpperYukonR."
"lnalpha7",-5.47911629448203,0.0347459108831684,0.914950837117751,-7.80544535563044,-5.35705274245999,-3.86274289802132,693.406829497414,1.00080440586698,"Whiteandtribs."
"beta7",2.78518740973737e-07,1.32517689360882e-09,7.01239571386865e-08,1.48350400947465e-07,2.76407319203656e-07,4.21903515704419e-07,2800.17466412969,0.999579249243665,"Whiteandtribs."
"phi7",0.829478785270036,0.0031053788625714,0.122380153618299,0.54636015824403,0.852980564624806,0.990554720121137,1553.07633754936,1.00021609258283,"Whiteandtribs."
"lnalpha8",-5.10402867660102,0.0226339844407053,0.692474976938421,-7.00092799542752,-5.02797835667511,-4.05551052710814,936.022186592089,1.00564551455866,"YukonR.Teslinheadwaters"
"beta8",2.65044686860857e-07,1.47974519046969e-09,7.9774713677986e-08,1.10524090625885e-07,2.62942611048719e-07,4.24169396713381e-07,2906.40836017307,1.00169725826453,"YukonR.Teslinheadwaters"
"phi8",0.723171065630178,0.00371589257294133,0.160082657076928,0.376380129021402,0.732887024585984,0.976823606824892,1855.93289081235,1.00157814709596,"YukonR.Teslinheadwaters"
