"CU","period","par","median","lower","upper"
"Big.Salmon","avg","Smsr",5668.8498734345,789.790841371994,11561.4585638934
"Big.Salmon","avg","Smsy",3048.130352332,389.213106001927,6036.26579777554
"Big.Salmon","early","Smsr",4594.12517027471,881.351796454925,9840.40404277583
"Big.Salmon","early","Smsy",2686.57938677165,429.585761229446,5368.88693889441
"Big.Salmon","recent","Smsr",6410.16963858762,739.354838558546,12594.129873881
"Big.Salmon","recent","Smsy",3233.75414390138,365.245679225673,6570.91330764224
"MiddleYukonR.andtribs.","avg","Smsr",16886.2774961156,2845.85760016766,38281.9509322404
"MiddleYukonR.andtribs.","avg","Smsy",8429.08249610378,1395.2805343517,20116.3115762253
"MiddleYukonR.andtribs.","early","Smsr",14370.6806938651,2942.57004316274,33250.4633540833
"MiddleYukonR.andtribs.","early","Smsy",7753.50644090936,1424.16345502647,17892.3400671446
"MiddleYukonR.andtribs.","recent","Smsr",18051.4277384061,2083.48538043125,40476.644973432
"MiddleYukonR.andtribs.","recent","Smsy",8561.39375760991,1034.87423361628,21548.7306619013
"Nordenskiold","avg","Smsr",1311.36809623005,1003.8622901065,1833.33055914314
"Nordenskiold","avg","Smsy",986.251930602349,796.863545094346,1275.02431780421
"Nordenskiold","early","Smsr",1007.92636738843,770.969002169838,1410.0666546528
"Nordenskiold","early","Smsy",806.863319721767,647.486548300466,1052.70247154663
"Nordenskiold","recent","Smsr",1572.19516900219,1200.03421585492,2198.29989122644
"Nordenskiold","recent","Smsy",1122.56261880673,911.172298436866,1446.06490967386
"NorthernYukonR.andtribs.","avg","Smsr",8192.7106764105,846.202409163554,13612.5393373794
"NorthernYukonR.andtribs.","avg","Smsy",3878.75783362661,419.290352914888,7897.4627661684
"NorthernYukonR.andtribs.","early","Smsr",6976.91283232299,994.553043989974,11041.6832338181
"NorthernYukonR.andtribs.","early","Smsy",3604.55670851739,486.12709538318,6677.06474082313
"NorthernYukonR.andtribs.","recent","Smsr",8559.22054176324,784.052325673324,15415.7756911395
"NorthernYukonR.andtribs.","recent","Smsy",3919.72477957423,389.066896295864,8866.46530431471
"Pelly","avg","Smsr",11134.309892715,823.818564286334,19681.5562929246
"Pelly","avg","Smsy",5220.90192321303,408.861554787657,12457.6393176623
"Pelly","early","Smsr",9580.19674108691,1172.37082430342,16668.5364741099
"Pelly","early","Smsy",4914.69633925732,577.930125873971,10332.7995713315
"Pelly","recent","Smsr",11524.9501366286,978.884456316346,22517.0826923126
"Pelly","recent","Smsy",5293.26962708673,486.332355289988,14214.1147703556
"Stewart","avg","Smsr",4066.74685334616,1291.51909110216,8838.05996403054
"Stewart","avg","Smsy",2233.5030265289,618.574978561738,4276.09130839486
"Stewart","early","Smsr",3259.51986538687,1303.83982367552,7837.63350519005
"Stewart","early","Smsy",1977.14867668038,612.160531114041,3950.90943723287
"Stewart","recent","Smsr",4593.49672502615,1129.0207288684,8800.95768637496
"Stewart","recent","Smsy",2370.30995373233,545.482670993089,4571.35790457114
"UpperYukonR.","avg","Smsr",6221.86586591389,3019.5199067605,9977.12516793152
"UpperYukonR.","avg","Smsy",3123.57519342537,1424.77350940853,4982.82969736382
"UpperYukonR.","early","Smsr",4994.78862709352,3104.55127558461,8408.17939415029
"UpperYukonR.","early","Smsy",2821.39455306718,1540.13813202461,4484.28539276929
"UpperYukonR.","recent","Smsr",6899.17555883698,2621.97658853442,10695.2260000669
"UpperYukonR.","recent","Smsy",3240.3005738387,1257.58669496117,5283.12506387329
"Whiteandtribs.","avg","Smsr",5890.15828111551,888.141107007548,10890.9217424472
"Whiteandtribs.","avg","Smsy",2922.46088269588,439.616793670651,6249.11918585997
"Whiteandtribs.","early","Smsr",4903.73544147399,910.848943264957,9187.30916117595
"Whiteandtribs.","early","Smsy",2676.44935326312,444.593027446183,5331.13743198978
"Whiteandtribs.","recent","Smsr",6402.1164516547,682.875456052831,12112.8619176307
"Whiteandtribs.","recent","Smsy",3027.90077795932,339.09705923443,6944.28875828278
"YukonR.Teslinheadwaters","avg","Smsr",6867.13113908551,2168.78422025746,14183.0347506264
"YukonR.Teslinheadwaters","avg","Smsy",3763.01129391581,1017.19035945843,7630.88181417971
"YukonR.Teslinheadwaters","early","Smsr",5461.3794575863,2285.32670964848,11885.7211267458
"YukonR.Teslinheadwaters","early","Smsy",3320.9144989478,1073.54792454312,6792.70459023194
"YukonR.Teslinheadwaters","recent","Smsr",7803.01875408845,1998.06943299987,15456.4056951723
"YukonR.Teslinheadwaters","recent","Smsy",4021.84366719302,967.834783126448,8332.51020406532
