"HCR","escapement","harvest","ER","pr.no.harv","pr.basic.needs","harv.stability","n.below.LSR","n.between.ref","n.above.USR","n.extinct","prob"
"alt.rebuilding",45875.504347481,9772.61595815429,0.0842411084846127,0.142857142857143,0.297619047619048,1.54187948666315,0,5,1.25,0,"q_25"
"alt.rebuilding",59560.1905096387,16067.4860160126,0.151598967008737,0.142857142857143,0.428571428571428,1.78057696805605,0.5,6,2,0,"median"
"alt.rebuilding",80653.0283008079,39711.7459317914,0.312753960637592,0.261904761904762,0.559523809523809,2.04729394459645,2,6,3,0,"q_75"
"alt.rebuilding",64799.1818581497,23884.4968064432,0.19226627938408,0.190476190476191,0.447619047619047,1.93066297730115,1.1,5.6,2.2,0.1,"mean"
"fixed.ER.10",62707.8261314054,6420.27684103397,0.0977127918763738,0.0952380952380952,0.214285714285714,1.11766382825238,0,2.25,3,0,"q_25"
"fixed.ER.10",92036.2623772576,9713.96582879581,0.0990887857599456,0.0952380952380952,0.285714285714286,1.67290896944563,0,4,4.5,0,"median"
"fixed.ER.10",165468.41452932,18684.385380127,0.100754601238792,0.0952380952380952,0.404761904761905,2.26240747104961,1,5,6,0,"q_75"
"fixed.ER.10",115490.150767302,12629.9117797636,0.0992436738355348,0.0952380952380952,0.3,1.73357293472969,0.7,3.6,4.7,0,"mean"
"fixed.ER.100",2330.64718806173,16122.4042320125,1.00014871366921,0.0952380952380952,0.333333333333333,1.79296350687813,0,0,0,8.25,"q_25"
"fixed.ER.100",2504.36433304898,21829.6498679735,1.00738363372431,0.214285714285714,0.5,1.93164586472261,0,0,0,9,"median"
"fixed.ER.100",3082.33453836778,23762.2025516868,1.01382660362282,0.369047619047619,0.559523809523809,2.10163459949991,0.75,0,0,9,"q_75"
"fixed.ER.100",3209.33137432368,25937.1016704851,1.00416224901545,0.242857142857143,0.452380952380952,2.01646845622229,0.4,0,0,8.6,"mean"
"fixed.ER.15",37797.3404788443,6589.1068713034,0.1490689076221,0.0952380952380952,0.202380952380952,1.38127874495766,2,3,0,0,"q_25"
"fixed.ER.15",41194.3905203582,6795.74608057569,0.150621344156983,0.0952380952380952,0.238095238095238,1.8577008851685,3,3,3,0,"median"
"fixed.ER.15",55316.9846696083,9401.60720726433,0.154692757929667,0.0952380952380952,0.273809523809524,2.23428151333649,4,4,4,0,"q_75"
"fixed.ER.15",61346.7569835209,10491.2208257205,0.151809523136803,0.0952380952380952,0.242857142857143,1.76697213089263,3.1,3.1,2.5,0.3,"mean"
