"HCR","escapement","harvest","cdn.harvest","ER","pr.closed","n.below.lwr","n.between.bench","n.above.upr","n.above.reb","n.extinct","prob"
"IMEG",21638.3777820079,3441.11561788503,811.889493538439,0.128789357062521,0.619047619047619,3,1,2,0,0,"q_25"
"IMEG",24741.3540816457,4966.97232722205,1176.20064074172,0.15661363542137,0.714285714285714,4,2,2,1,0,"median"
"IMEG",28468.9696093651,7167.29517426105,1740.05815903743,0.19487157064426,0.761904761904762,5,2,3,1,0,"q_75"
"IMEG",25047.8518246513,5719.22350960837,1396.1058743836,0.165658401459593,0.684142857142857,3.813,1.74,2.441,0.954,0.052,"mean"
"IMEG.cap",22675.760757867,2956.56379201874,654.251213260403,0.110573831601561,0.571428571428571,3,1,2,0,0,"q_25"
"IMEG.cap",26820.6017155205,4208.65250042818,919.110918637239,0.131896656242064,0.666666666666667,3,2,3,1,0,"median"
"IMEG.cap",31432.0082608668,5755.77232995074,1252.904174881,0.155382617066543,0.761904761904762,4,3,4,1,0,"q_75"
"IMEG.cap",27178.81216911,4618.08539436714,1005.81274686636,0.133962265552297,0.669761904761905,3.488,1.755,2.744,0.982,0.031,"mean"
"PA.alternative",23787.8176544067,2401.33330561238,552.570153133737,0.0882796010749536,0.19047619047619,2,1,2,0,0,"q_25"
"PA.alternative",28157.737558257,3242.84975728709,750.625514102284,0.10180952977835,0.285714285714286,3,2,3,1,0,"median"
"PA.alternative",32749.5704606623,4381.4100809363,1012.55228890583,0.118797520166777,0.380952380952381,4,3,4,2,0,"q_75"
"PA.alternative",28413.8397396576,3577.67582804521,829.838788384873,0.104360206249186,0.287714285714286,3.129,1.843,2.932,1.054,0.042,"mean"
"fixed.ER.10",23876.0678549693,2659.35508387063,611.651669290243,0.0986001129685567,0,2,1,2,0,0,"q_25"
"fixed.ER.10",28586.8492074493,3164.69870838718,727.880702929051,0.100064049642987,0,3,2,3,1,0,"median"
