"HCR","escapement","harvest","cdn.harvest","ER","pr.closed","n.below.lwr","n.between.bench","n.above.upr","n.above.reb","n.extinct","prob"
"IMEG",12182.756167838,1606.79102785479,369.866741587146,0.108335962423728,0.80952380952381,4,0,1,0,0,"q_25"
"IMEG",15117.4380458392,2039.79062982901,470.552808439688,0.127945417026964,0.857142857142857,4,1,2,1,1,"median"
"IMEG",18255.0010501304,2846.1368851158,661.196769518075,0.156391973203457,0.952380952380952,5,2,2,1,2,"q_75"
"IMEG",15381.718017668,2460.31905107534,579.504181251216,0.133826573000481,0.859857142857143,4.435,1.026,1.64,0.702,1.197,"mean"
"IMEG.cap",11781.711162482,1490.17430865316,340.064320406179,0.101103347526783,0.80952380952381,4,0,1,0,0,"q_25"
"IMEG.cap",15153.42488096,1871.32980636529,425.527049354428,0.116632590269139,0.857142857142857,4,1,2,1,1,"median"
"IMEG.cap",18472.8088223467,2443.48674550595,551.064600199008,0.134981983165657,0.952380952380952,5,2,2,1,2,"q_75"
"IMEG.cap",15416.688188957,2081.99857854518,471.899586250559,0.119313054448474,0.863761904761905,4.449,1.054,1.692,0.689,1.116,"mean"
"PA.alternative",12009.7296844985,1371.64998767354,316.141196109881,0.0872428636147964,0.428571428571429,4,0,1,0,0,"q_25"
"PA.alternative",15209.3870939682,1648.98048270181,380.073833518472,0.102612507726721,0.571428571428571,4,1,2,1,1,"median"
"PA.alternative",18974.1338750623,2062.16356574682,476.58634950496,0.123084133391578,0.666666666666667,5,2,2,1,2,"q_75"
"PA.alternative",15759.0668242091,1798.97451928835,415.808036590877,0.109792331644713,0.548047619047619,4.396,1.077,1.679,0.687,1.161,"mean"
"fixed.ER.10",12683.8472045316,1402.98275999083,322.686034797891,0.0976608179375803,0,4,0,1,0,0,"q_25"
"fixed.ER.10",15669.2982625321,1732.16688715256,398.398384045089,0.0994115691667322,0,4,1,2,1,1,"median"
"fixed.ER.10",19055.0158073357,2113.1118631351,486.015728521074,0.101042420691152,0,5,2,2,1,1,"q_75"
"fixed.ER.10",16125.027251352,1793.01855206199,412.394266974257,0.0993034360274292,0,4.435,1.054,1.772,0.742,0.997,"mean"
"fixed.ER.100",0,324.03994370305,74.5291870517015,0.205504173587702,0.476190476190476,0,0,0,0,9,"q_25"
"fixed.ER.100",7.54377033711122,536.453120339377,123.384217678057,0.27368612451773,0.619047619047619,0,0,0,0,9,"median"
"fixed.ER.100",24.5255204311755,953.100477777248,219.213109888767,0.335602513850678,0.714285714285714,0,0,0,0,9,"q_75"
"fixed.ER.100",21.7571155676309,756.256024197962,174.046249191217,0.265329847569009,0.584380952380952,0.003,0.001,0,0,8.996,"mean"
"fixed.ER.15",11587.2234065242,2028.11846525446,466.467247008525,0.145976838927246,0,4,0,1,0,0,"q_25"
"fixed.ER.15",14251.9407632573,2528.31028680467,581.511365965074,0.148770732220436,0,4,1,2,1,1,"median"
"fixed.ER.15",17806.5522879045,3134.1103275994,720.845375347861,0.151471502319104,0,5,2,2,1,2,"q_75"
