"V1","reproOutputPerSpawner"
1985,540.634221314631
1986,695.156952307694
1987,709.434054648925
1988,856.690667026464
1989,670.789951910737
1990,607.987696449056
1991,652.275058836347
1992,476.050724439311
1993,657.013600773402
1994,491.459435242285
1995,570.227105068142
1996,468.846896283046
1997,651.247874840704
1998,432.829552157181
1999,518.852191433318
2000,480.674413375087
2001,354.972680598545
2002,482.957153873526
2003,570.685554682807
2004,688.239033043031
2005,426.04787251823
2006,478.027332277141
2007,483.824247338532
2008,385.531390430624
2009,454.307516332144
2010,415.282233574827
2011,597.824830620759
2012,522.739598324952
2013,563.798940533628
2014,356.913702339642
2015,435.466009765816
2016,293.24046184885
2017,516.493294810805
2018,417.193894912488
2019,455.147794149707
2020,509.432975343591
2021,421.987997584247
2022,442.768653294286
2023,297.334263099962
2024,324.19979621659
