"HCR","CU","year","H.50","H.25","H.75"
"fixed.ER","Big.Salmon",2024,0,0,0
"fixed.ER","Big.Salmon",2025,1164,1012,1419.25
"fixed.ER","Big.Salmon",2026,1008,794,1284.25
"fixed.ER","Big.Salmon",2027,993,718,1409.25
"fixed.ER","Big.Salmon",2028,959,722.5,1400.75
"fixed.ER","Big.Salmon",2029,921,636.5,1296
"fixed.ER","Big.Salmon",2030,770.5,518.25,1111.25
"fixed.ER","Big.Salmon",2031,491.5,317.5,819.25
"fixed.ER","Big.Salmon",2032,421,249,766.25
"fixed.ER","Big.Salmon",2033,418,225.5,790.75
"fixed.ER","Big.Salmon",2034,383,207.5,805
"fixed.ER","Big.Salmon",2035,343.5,169.75,768
"fixed.ER","Big.Salmon",2036,281.5,125.75,675.5
"fixed.ER","Big.Salmon",2037,204,85.75,545.25
"fixed.ER","Big.Salmon",2038,188.5,67,525.5
"fixed.ER","Big.Salmon",2039,179,61,582.25
"fixed.ER","Big.Salmon",2040,161.5,55.25,560.25
"fixed.ER","Big.Salmon",2041,144,42.75,529
"fixed.ER","Big.Salmon",2042,117,28.75,497.5
"fixed.ER","Big.Salmon",2043,94.5,13.75,470.75
"fixed.ER","Big.Salmon",2044,86,6,435
"fixed.ER","Big.Salmon",2045,78.5,1,440.75
"fixed.ER","Big.Salmon",2046,65.5,0,461.75
"fixed.ER","Big.Salmon",2047,52,0,433.5
"fixed.ER","Big.Salmon",2048,38,0,409.75
"fixed.ER","Big.Salmon",2049,27,0,444.75
"fixed.ER","Big.Salmon",2050,16,0,425.25
"fixed.ER","Big.Salmon",2051,13,0,430.25
"fixed.ER","Big.Salmon",2052,2.5,0,372.5
"fixed.ER","Big.Salmon",2053,0,0,383.25
"fixed.ER","Big.Salmon",2054,0,0,417.5
"fixed.ER","Big.Salmon",2055,0,0,431.25
"fixed.ER","Big.Salmon",2056,0,0,450.25
"fixed.ER","Big.Salmon",2057,0,0,500
"fixed.ER","Big.Salmon",2058,0,0,461.25
"fixed.ER","Big.Salmon",2059,0,0,488
"fixed.ER","Big.Salmon",2060,0,0,436.5
"fixed.ER","Big.Salmon",2061,0,0,415.75
"fixed.ER","Big.Salmon",2062,0,0,417.25
"fixed.ER","Big.Salmon",2063,0,0,492
"fixed.ER","Big.Salmon",2064,0,0,463.75
