"HCR","CU","year","H.50","H.25","H.75"
"IMEG","Big.Salmon",2024,0,0,0
"IMEG","Big.Salmon",2025,0,0,0
"IMEG","Big.Salmon",2026,0,0,0
"IMEG","Big.Salmon",2027,0,0,652
"IMEG","Big.Salmon",2028,0,0,744.25
"IMEG","Big.Salmon",2029,0,0,2063
"IMEG","Big.Salmon",2030,0,0,2685
"IMEG","Big.Salmon",2031,21.5,0,4049.5
"IMEG","Big.Salmon",2032,1367,0,6428.5
"IMEG","Big.Salmon",2033,1579.5,0,6861.5
"IMEG","Big.Salmon",2034,1518.5,0,6647.25
"IMEG","Big.Salmon",2035,1477,0,6718
"IMEG","Big.Salmon",2036,1583,0,6336.5
"IMEG","Big.Salmon",2037,1418,0,5959
"IMEG","Big.Salmon",2038,1185.5,0,6320.5
"IMEG","Big.Salmon",2039,1201.5,0,6303.5
"IMEG","Big.Salmon",2040,1191.5,0,5775.25
"IMEG","Big.Salmon",2041,1404,0,6858.5
"IMEG","Big.Salmon",2042,1152,0,6568.75
"IMEG","Big.Salmon",2043,1216,0,6820.75
"IMEG","Big.Salmon",2044,1112.5,0,5926
"IMEG","Big.Salmon",2045,1127.5,0,6295.5
"IMEG","Big.Salmon",2046,1126,0,6221.5
"IMEG","Big.Salmon",2047,1212.5,0,7805.5
"IMEG","Big.Salmon",2048,1321,0,6783.25
"IMEG","Big.Salmon",2049,1554.5,0,6317.25
"IMEG","Big.Salmon",2050,1177,0,6210
"IMEG","Big.Salmon",2051,1308,0,6628.25
"IMEG","MiddleYukonR.andtribs.",2024,0,0,0
"IMEG","MiddleYukonR.andtribs.",2025,0,0,0
"IMEG","MiddleYukonR.andtribs.",2026,0,0,0
"IMEG","MiddleYukonR.andtribs.",2027,0,0,1569.25
"IMEG","MiddleYukonR.andtribs.",2028,0,0,1384.25
"IMEG","MiddleYukonR.andtribs.",2029,0,0,3896.5
"IMEG","MiddleYukonR.andtribs.",2030,0,0,6744
"IMEG","MiddleYukonR.andtribs.",2031,39,0,10256.5
"IMEG","MiddleYukonR.andtribs.",2032,3565,0,16501
"IMEG","MiddleYukonR.andtribs.",2033,3328.5,0,15741
"IMEG","MiddleYukonR.andtribs.",2034,3171,0,15503.5
"IMEG","MiddleYukonR.andtribs.",2035,3237,0,15969
"IMEG","MiddleYukonR.andtribs.",2036,4015,0,16750
"IMEG","MiddleYukonR.andtribs.",2037,3861,0,16972.5
"IMEG","MiddleYukonR.andtribs.",2038,3141,0,16161.5
"IMEG","MiddleYukonR.andtribs.",2039,2743.5,0,14940.25
"IMEG","MiddleYukonR.andtribs.",2040,2785.5,0,15652.75
"IMEG","MiddleYukonR.andtribs.",2041,3113.5,0,17173.5
"IMEG","MiddleYukonR.andtribs.",2042,3263.5,0,17322.25
"IMEG","MiddleYukonR.andtribs.",2043,3188.5,0,15599.75
"IMEG","MiddleYukonR.andtribs.",2044,2992,0,15179.75
"IMEG","MiddleYukonR.andtribs.",2045,2772.5,0,16012.25
"IMEG","MiddleYukonR.andtribs.",2046,2759,0,17845.5
"IMEG","MiddleYukonR.andtribs.",2047,2917.5,0,18286.5
"IMEG","MiddleYukonR.andtribs.",2048,3852.5,0,17634.25
"IMEG","MiddleYukonR.andtribs.",2049,3609.5,0,17447
"IMEG","MiddleYukonR.andtribs.",2050,3291,0,18537.5
"IMEG","MiddleYukonR.andtribs.",2051,3739.5,0,17867.75
"IMEG","Nordenskiold",2024,0,0,0
"IMEG","Nordenskiold",2025,0,0,0
"IMEG","Nordenskiold",2026,0,0,0
