"HCR","CU","year","H.50","H.25","H.75"
"IMEG","Big.Salmon",2024,0,0,0
"IMEG","Big.Salmon",2025,0,0,414.5
"IMEG","Big.Salmon",2026,0,0,1105.75
"IMEG","Big.Salmon",2027,490,0,1890.25
"IMEG","Big.Salmon",2028,0,0,1363.5
"IMEG","Big.Salmon",2029,0,0,1448
"IMEG","Big.Salmon",2030,495.5,0,2029.5
"IMEG","Big.Salmon",2031,469,0,1951
"IMEG","Big.Salmon",2032,873,0,2641.75
"IMEG","Big.Salmon",2033,814,0,2628.5
"IMEG","Big.Salmon",2034,870.5,0,2731
"IMEG","Big.Salmon",2035,563,0,2400.25
"IMEG","Big.Salmon",2036,661.5,0,2654
"IMEG","Big.Salmon",2037,876.5,0,2551.25
"IMEG","Big.Salmon",2038,819,0,2628.25
"IMEG","Big.Salmon",2039,800,0,2633.75
"IMEG","Big.Salmon",2040,629.5,0,2642.75
"IMEG","Big.Salmon",2041,767,0,2722.25
"IMEG","Big.Salmon",2042,775.5,0,2739.25
"IMEG","Big.Salmon",2043,800,0,2726.75
"IMEG","Big.Salmon",2044,938,0,2774.75
"IMEG","Big.Salmon",2045,991,0,3043.25
"IMEG","Big.Salmon",2046,794.5,0,2913.5
"IMEG","Big.Salmon",2047,699.5,0,2703.75
"IMEG","Big.Salmon",2048,761.5,0,2850
"IMEG","Big.Salmon",2049,768,0,2666.25
"IMEG","Big.Salmon",2050,618,0,2554.25
"IMEG","Big.Salmon",2051,724,0,2653.25
"IMEG","MiddleYukonR.andtribs.",2024,0,0,0
"IMEG","MiddleYukonR.andtribs.",2025,0,0,1449
"IMEG","MiddleYukonR.andtribs.",2026,0,0,4539.75
"IMEG","MiddleYukonR.andtribs.",2027,1960.5,0,6850.25
"IMEG","MiddleYukonR.andtribs.",2028,0,0,4029.5
"IMEG","MiddleYukonR.andtribs.",2029,0,0,4317.75
"IMEG","MiddleYukonR.andtribs.",2030,1658.5,0,7609.5
"IMEG","MiddleYukonR.andtribs.",2031,1848.5,0,7956.25
"IMEG","MiddleYukonR.andtribs.",2032,3573.5,0,9519.5
"IMEG","MiddleYukonR.andtribs.",2033,2945,0,9490.5
"IMEG","MiddleYukonR.andtribs.",2034,2693,0,8911.5
"IMEG","MiddleYukonR.andtribs.",2035,1974,0,8784
"IMEG","MiddleYukonR.andtribs.",2036,2799.5,0,10140
"IMEG","MiddleYukonR.andtribs.",2037,3143.5,0,9339.75
"IMEG","MiddleYukonR.andtribs.",2038,3225,0,9195.5
"IMEG","MiddleYukonR.andtribs.",2039,3013.5,0,9294
"IMEG","MiddleYukonR.andtribs.",2040,2372,0,9266.25
"IMEG","MiddleYukonR.andtribs.",2041,2649,0,9547.25
"IMEG","MiddleYukonR.andtribs.",2042,3122.5,0,10010.75
"IMEG","MiddleYukonR.andtribs.",2043,3009,0,9899.5
"IMEG","MiddleYukonR.andtribs.",2044,3381,0,9719.25
"IMEG","MiddleYukonR.andtribs.",2045,3807.5,0,10080.5
"IMEG","MiddleYukonR.andtribs.",2046,2829,0,10167
"IMEG","MiddleYukonR.andtribs.",2047,2469.5,0,9632.75
"IMEG","MiddleYukonR.andtribs.",2048,2860.5,0,9692.25
"IMEG","MiddleYukonR.andtribs.",2049,2994,0,9569.75
"IMEG","MiddleYukonR.andtribs.",2050,2369.5,0,9366.75
"IMEG","MiddleYukonR.andtribs.",2051,2669.5,0,9287.75
"IMEG","Nordenskiold",2024,0,0,0
"IMEG","Nordenskiold",2025,0,0,300.5
"IMEG","Nordenskiold",2026,0,0,772
"IMEG","Nordenskiold",2027,257,0,1035.5
"IMEG","Nordenskiold",2028,0,0,709
"IMEG","Nordenskiold",2029,0,0,934.25
"IMEG","Nordenskiold",2030,264.5,0,1356.25
"IMEG","Nordenskiold",2031,243.5,0,1266.5
"IMEG","Nordenskiold",2032,518.5,0,1454.25
"IMEG","Nordenskiold",2033,419.5,0,1472.25
"IMEG","Nordenskiold",2034,404,0,1421
"IMEG","Nordenskiold",2035,285.5,0,1344
"IMEG","Nordenskiold",2036,402.5,0,1412.75
"IMEG","Nordenskiold",2037,386.5,0,1395.25
"IMEG","Nordenskiold",2038,408.5,0,1395
"IMEG","Nordenskiold",2039,363.5,0,1447.25
"IMEG","Nordenskiold",2040,298.5,0,1346.5
"IMEG","Nordenskiold",2041,363,0,1363.5
"IMEG","Nordenskiold",2042,366.5,0,1442.75
"IMEG","Nordenskiold",2043,375.5,0,1487.25
"IMEG","Nordenskiold",2044,432.5,0,1425.25
"IMEG","Nordenskiold",2045,507.5,0,1482.25
"IMEG","Nordenskiold",2046,413,0,1430.5
"IMEG","Nordenskiold",2047,343,0,1401.5
"IMEG","Nordenskiold",2048,392,0,1485.25
"IMEG","Nordenskiold",2049,357,0,1361.25
"IMEG","Nordenskiold",2050,316,0,1380.5
"IMEG","Nordenskiold",2051,325,0,1322
"IMEG","NorthernYukonR.andtribs.",2024,0,0,0
"IMEG","NorthernYukonR.andtribs.",2025,0,0,560.75
"IMEG","NorthernYukonR.andtribs.",2026,0,0,1496.25
"IMEG","NorthernYukonR.andtribs.",2027,503.5,0,1706.5
"IMEG","NorthernYukonR.andtribs.",2028,0,0,1061.25
"IMEG","NorthernYukonR.andtribs.",2029,0,0,1384.5
"IMEG","NorthernYukonR.andtribs.",2030,474,0,2098.75
"IMEG","NorthernYukonR.andtribs.",2031,496,0,2116.5
"IMEG","NorthernYukonR.andtribs.",2032,856,0,2267.5
"IMEG","NorthernYukonR.andtribs.",2033,652,0,2107.25
"IMEG","NorthernYukonR.andtribs.",2034,605,0,2040
"IMEG","NorthernYukonR.andtribs.",2035,472.5,0,2045.75
"IMEG","NorthernYukonR.andtribs.",2036,607,0,2553.5
"IMEG","NorthernYukonR.andtribs.",2037,715,0,2230.25
"IMEG","NorthernYukonR.andtribs.",2038,601.5,0,2250
"IMEG","NorthernYukonR.andtribs.",2039,580.5,0,2086
"IMEG","NorthernYukonR.andtribs.",2040,451.5,0,2045
