"HCR","CU","year","S.50","S.25","S.75"
"fixed.ER","Big.Salmon",2024,1898,1836,1957.25
"fixed.ER","Big.Salmon",2025,866.5,710.25,1066
"fixed.ER","Big.Salmon",2026,819,587.5,1187.25
"fixed.ER","Big.Salmon",2027,835,477,1552
"fixed.ER","Big.Salmon",2028,812,389.75,1807.75
"fixed.ER","Big.Salmon",2029,721.5,287.75,1820.5
"fixed.ER","Big.Salmon",2030,598.5,212.25,1663.75
"fixed.ER","Big.Salmon",2031,439.5,122.75,1409.5
"fixed.ER","Big.Salmon",2032,425.5,82,1559.75
"fixed.ER","Big.Salmon",2033,408,69.75,2184.25
"fixed.ER","Big.Salmon",2034,347,56,2497.5
"fixed.ER","Big.Salmon",2035,323.5,0,2492
"fixed.ER","Big.Salmon",2036,241.5,0,2506.5
"fixed.ER","Big.Salmon",2037,204.5,0,2955.5
"fixed.ER","Big.Salmon",2038,182.5,0,3014.75
"fixed.ER","Big.Salmon",2039,197.5,0,3035.5
"fixed.ER","Big.Salmon",2040,187,0,2842.5
"fixed.ER","Big.Salmon",2041,141,0,3125.75
"fixed.ER","Big.Salmon",2042,116,0,3712.75
"fixed.ER","Big.Salmon",2043,101,0,3885.25
"fixed.ER","Big.Salmon",2044,75.5,0,2824.5
"fixed.ER","Big.Salmon",2045,68,0,2618.25
"fixed.ER","Big.Salmon",2046,52.5,0,2235.25
"fixed.ER","Big.Salmon",2047,0,0,2606.25
"fixed.ER","Big.Salmon",2048,0,0,2859
"fixed.ER","Big.Salmon",2049,0,0,2766.5
"fixed.ER","Big.Salmon",2050,0,0,2047.75
"fixed.ER","Big.Salmon",2051,0,0,1601.25
"fixed.ER","Big.Salmon",2052,0,0,1507.75
"fixed.ER","Big.Salmon",2053,0,0,1333.5
"fixed.ER","Big.Salmon",2054,0,0,1576.75
"fixed.ER","Big.Salmon",2055,0,0,1753.75
"fixed.ER","Big.Salmon",2056,0,0,2074
"fixed.ER","Big.Salmon",2057,0,0,1409.25
"fixed.ER","Big.Salmon",2058,0,0,1152
"fixed.ER","Big.Salmon",2059,0,0,1131
"fixed.ER","Big.Salmon",2060,0,0,869.25
"fixed.ER","Big.Salmon",2061,0,0,864.75
"fixed.ER","Big.Salmon",2062,0,0,845.5
"fixed.ER","Big.Salmon",2063,0,0,664.25
"fixed.ER","Big.Salmon",2064,0,0,716
"fixed.ER","Big.Salmon",2065,0,0,548.5
"fixed.ER","Big.Salmon",2066,0,0,492.5
"fixed.ER","Big.Salmon",2067,0,0,388.5
"fixed.ER","MiddleYukonR.andtribs.",2024,6317,6074,6554
"fixed.ER","MiddleYukonR.andtribs.",2025,3070.5,2397.5,4022.25
"fixed.ER","MiddleYukonR.andtribs.",2026,3402,2352.5,4985.5
"fixed.ER","MiddleYukonR.andtribs.",2027,3096,1586,5563.5
"fixed.ER","MiddleYukonR.andtribs.",2028,2263,982.75,4602.5
"fixed.ER","MiddleYukonR.andtribs.",2029,1838.5,768.75,4523.5
"fixed.ER","MiddleYukonR.andtribs.",2030,2097,737,5797
"fixed.ER","MiddleYukonR.andtribs.",2031,1825,567.25,5251.75
"fixed.ER","MiddleYukonR.andtribs.",2032,1517.5,461.75,6197.5
"fixed.ER","MiddleYukonR.andtribs.",2033,1453.5,344,6474.75
"fixed.ER","MiddleYukonR.andtribs.",2034,1282,265.75,6756
"fixed.ER","MiddleYukonR.andtribs.",2035,1282.5,192.75,7249.75
"fixed.ER","MiddleYukonR.andtribs.",2036,1128.5,156.75,6754
"fixed.ER","MiddleYukonR.andtribs.",2037,1038,120.25,6996.75
"fixed.ER","MiddleYukonR.andtribs.",2038,885.5,82.75,7067.25
"fixed.ER","MiddleYukonR.andtribs.",2039,863,54.5,6669.5
"fixed.ER","MiddleYukonR.andtribs.",2040,771.5,0,7584.5
"fixed.ER","MiddleYukonR.andtribs.",2041,776.5,0,7872.5
"fixed.ER","MiddleYukonR.andtribs.",2042,697.5,0,8442.5
"fixed.ER","MiddleYukonR.andtribs.",2043,701,0,9843
"fixed.ER","MiddleYukonR.andtribs.",2044,581.5,0,9362.5
"fixed.ER","MiddleYukonR.andtribs.",2045,482,0,9463
"fixed.ER","MiddleYukonR.andtribs.",2046,391,0,10355
"fixed.ER","MiddleYukonR.andtribs.",2047,385,0,8099.25
