"HCR","CU","year","S.50","S.25","S.75"
"alt.rebuilding","Big.Salmon",2024,1902.5,1845,1963
"alt.rebuilding","Big.Salmon",2025,2051.5,1676.5,2512.25
"alt.rebuilding","Big.Salmon",2026,2040,1493,2901.5
"alt.rebuilding","Big.Salmon",2027,2504.5,1614.75,3916.5
"alt.rebuilding","Big.Salmon",2028,2917,1734.5,4786.75
"alt.rebuilding","Big.Salmon",2029,3025.5,1665.75,5214.25
"alt.rebuilding","Big.Salmon",2030,3306.5,1754.75,5595.25
"alt.rebuilding","Big.Salmon",2031,3483,1802,6469
"alt.rebuilding","Big.Salmon",2032,3600,1904.75,7674
"alt.rebuilding","Big.Salmon",2033,4139.5,1978.25,8211.75
"alt.rebuilding","Big.Salmon",2034,4249,1994.75,8687.5
"alt.rebuilding","Big.Salmon",2035,4449,2019,9583.75
"alt.rebuilding","Big.Salmon",2036,4685.5,1965.75,10181
"alt.rebuilding","Big.Salmon",2037,4636.5,2066.25,10080.5
"alt.rebuilding","Big.Salmon",2038,4635.5,2039,9984.75
"alt.rebuilding","Big.Salmon",2039,4694.5,2116.25,10066.75
"alt.rebuilding","Big.Salmon",2040,5023.5,2218,10095.25
"alt.rebuilding","Big.Salmon",2041,4953.5,2153.5,10034.75
"alt.rebuilding","Big.Salmon",2042,5069,2151.75,10242.5
"alt.rebuilding","Big.Salmon",2043,4655,2213,10075
"alt.rebuilding","Big.Salmon",2044,4956,2148.75,10070.5
"alt.rebuilding","Big.Salmon",2045,5090.5,2206.75,10499.5
"alt.rebuilding","Big.Salmon",2046,5409.5,2090.25,11218.5
"alt.rebuilding","Big.Salmon",2047,5469,2175.75,10817
"alt.rebuilding","Big.Salmon",2048,5124.5,2231.75,10840.25
"alt.rebuilding","Big.Salmon",2049,4937.5,2117.75,10221.25
"alt.rebuilding","Big.Salmon",2050,4611.5,1987,10351.25
"alt.rebuilding","Big.Salmon",2051,4879,1967.25,9917.5
"alt.rebuilding","MiddleYukonR.andtribs.",2024,6355.5,6069.75,6642.25
"alt.rebuilding","MiddleYukonR.andtribs.",2025,7199.5,5722.25,9329.25
"alt.rebuilding","MiddleYukonR.andtribs.",2026,8414,5720,11717
"alt.rebuilding","MiddleYukonR.andtribs.",2027,8108,5218,12961.25
"alt.rebuilding","MiddleYukonR.andtribs.",2028,7021,4146,11905
"alt.rebuilding","MiddleYukonR.andtribs.",2029,7374,4220,13026.75
"alt.rebuilding","MiddleYukonR.andtribs.",2030,10328.5,5813,18357.5
"alt.rebuilding","MiddleYukonR.andtribs.",2031,11618.5,6240.75,20706.25
"alt.rebuilding","MiddleYukonR.andtribs.",2032,11657,6375.75,20904.5
"alt.rebuilding","MiddleYukonR.andtribs.",2033,11372.5,5983.5,20014.75
"alt.rebuilding","MiddleYukonR.andtribs.",2034,11046,5607,20373.5
"alt.rebuilding","MiddleYukonR.andtribs.",2035,11307.5,5423.75,20949.25
"alt.rebuilding","MiddleYukonR.andtribs.",2036,11936,5763.75,21487.25
"alt.rebuilding","MiddleYukonR.andtribs.",2037,11712,5617.5,22619.5
"alt.rebuilding","MiddleYukonR.andtribs.",2038,11547,5791.25,21482.75
"alt.rebuilding","MiddleYukonR.andtribs.",2039,11597.5,5707.5,21082.75
"alt.rebuilding","MiddleYukonR.andtribs.",2040,11321.5,5709.25,23541.75
"alt.rebuilding","MiddleYukonR.andtribs.",2041,11656,5582.75,24126.5
"alt.rebuilding","MiddleYukonR.andtribs.",2042,11665,5517.25,20790
"alt.rebuilding","MiddleYukonR.andtribs.",2043,11933,5826.5,20752.5
"alt.rebuilding","MiddleYukonR.andtribs.",2044,11458,5819.25,21882.5
"alt.rebuilding","MiddleYukonR.andtribs.",2045,11525,5683.25,22635.75
"alt.rebuilding","MiddleYukonR.andtribs.",2046,12176,5709.25,23034.5
"alt.rebuilding","MiddleYukonR.andtribs.",2047,12203.5,5901,22034.75
"alt.rebuilding","MiddleYukonR.andtribs.",2048,11944,5843.75,22624.5
"alt.rebuilding","MiddleYukonR.andtribs.",2049,11324.5,5688.5,23022
"alt.rebuilding","MiddleYukonR.andtribs.",2050,11599.5,5631,22480.75
"alt.rebuilding","MiddleYukonR.andtribs.",2051,11614.5,5620.75,21789.25
"alt.rebuilding","Nordenskiold",2024,1427.5,1329.75,1524.25
"alt.rebuilding","Nordenskiold",2025,2054,1573,2694.25
"alt.rebuilding","Nordenskiold",2026,2342.5,1653.75,3459.25
"alt.rebuilding","Nordenskiold",2027,2363,1437,3584.75
"alt.rebuilding","Nordenskiold",2028,2355,1389.75,3998.75
"alt.rebuilding","Nordenskiold",2029,2813.5,1594,4888
"alt.rebuilding","Nordenskiold",2030,3024.5,1608.25,5152.75
"alt.rebuilding","Nordenskiold",2031,3032,1682.5,5319.5
"alt.rebuilding","Nordenskiold",2032,2979.5,1692.5,5164.5
"alt.rebuilding","Nordenskiold",2033,2842,1583.75,5114.5
"alt.rebuilding","Nordenskiold",2034,2682.5,1460,4762.25
"alt.rebuilding","Nordenskiold",2035,2558.5,1424.75,4635.25
"alt.rebuilding","Nordenskiold",2036,2658.5,1478,4381.75
"alt.rebuilding","Nordenskiold",2037,2506.5,1406.75,4645.75
"alt.rebuilding","Nordenskiold",2038,2569,1359.25,4351.75
"alt.rebuilding","Nordenskiold",2039,2484,1418.5,4431.5
"alt.rebuilding","Nordenskiold",2040,2554.5,1382,4651.5
"alt.rebuilding","Nordenskiold",2041,2638,1396.25,4700
"alt.rebuilding","Nordenskiold",2042,2713,1485.75,4748.75
"alt.rebuilding","Nordenskiold",2043,2800.5,1437.25,4593.5
"alt.rebuilding","Nordenskiold",2044,2723.5,1556.5,4857.75
"alt.rebuilding","Nordenskiold",2045,2629,1480,4804.5
"alt.rebuilding","Nordenskiold",2046,2695,1412.75,4853.75
"alt.rebuilding","Nordenskiold",2047,2619.5,1367.25,4563.25
"alt.rebuilding","Nordenskiold",2048,2506,1348.25,4450.5
