"HCR","CU","year","S.50","S.25","S.75"
"alternative","Big.Salmon",2024,1896,1837,1961.25
"alternative","Big.Salmon",2025,2107,1823,2459.5
"alternative","Big.Salmon",2026,2486,2036.75,3093.25
"alternative","Big.Salmon",2027,3409,2629,4284.25
"alternative","Big.Salmon",2028,3594.5,2797.25,4518.25
"alternative","Big.Salmon",2029,3392.5,2712.25,4287.5
"alternative","Big.Salmon",2030,3462,2641.75,4458.5
"alternative","Big.Salmon",2031,3724.5,2830.75,4689
"alternative","Big.Salmon",2032,4067,3060.25,5292.5
"alternative","Big.Salmon",2033,4563,3363.25,5921.75
"alternative","Big.Salmon",2034,4563,3428,6059
"alternative","Big.Salmon",2035,4625.5,3335,5904.5
"alternative","Big.Salmon",2036,4554.5,3365.25,5923.5
"alternative","Big.Salmon",2037,4568.5,3390.5,6285
"alternative","Big.Salmon",2038,4806,3555.5,6217.25
"alternative","Big.Salmon",2039,4910.5,3640.5,6455
"alternative","Big.Salmon",2040,4909.5,3830.5,6407.5
"alternative","Big.Salmon",2041,4890.5,3665,6333.5
"alternative","Big.Salmon",2042,4945,3784,6355.5
"alternative","Big.Salmon",2043,4976.5,3728,6327.25
"alternative","Big.Salmon",2044,4952,3701,6624
"alternative","Big.Salmon",2045,5026.5,3700.75,6553.5
"alternative","Big.Salmon",2046,5034.5,3747,6435.5
"alternative","Big.Salmon",2047,5007.5,3769.75,6391.5
"alternative","Big.Salmon",2048,4943.5,3688.75,6563
"alternative","Big.Salmon",2049,4943.5,3677.25,6402.5
"alternative","Big.Salmon",2050,4992,3776.5,6367.75
"alternative","Big.Salmon",2051,4875,3770,6374
"alternative","MiddleYukonR.andtribs.",2024,6327,6046.75,6602
"alternative","MiddleYukonR.andtribs.",2025,7156.5,5946.5,8610.25
"alternative","MiddleYukonR.andtribs.",2026,9988.5,7867.75,12685
"alternative","MiddleYukonR.andtribs.",2027,12288.5,9516.75,16341.25
"alternative","MiddleYukonR.andtribs.",2028,10238,7830.75,13163.25
"alternative","MiddleYukonR.andtribs.",2029,9877.5,7370.25,12733.25
"alternative","MiddleYukonR.andtribs.",2030,13011,10055.75,16862
"alternative","MiddleYukonR.andtribs.",2031,14771,10734.5,18523
"alternative","MiddleYukonR.andtribs.",2032,14578,11287,19383.75
"alternative","MiddleYukonR.andtribs.",2033,15177,11325.75,19444.75
"alternative","MiddleYukonR.andtribs.",2034,14775.5,11138.25,19669.25
"alternative","MiddleYukonR.andtribs.",2035,14877,11563.25,18843.75
"alternative","MiddleYukonR.andtribs.",2036,15175,11967.75,19305.25
"alternative","MiddleYukonR.andtribs.",2037,15087,11859,19160
"alternative","MiddleYukonR.andtribs.",2038,14904.5,11681.75,19183.25
"alternative","MiddleYukonR.andtribs.",2039,15449,11576.5,19226.25
"alternative","MiddleYukonR.andtribs.",2040,15062,11877.75,18785.5
"alternative","MiddleYukonR.andtribs.",2041,14993.5,11664.75,18866.5
"alternative","MiddleYukonR.andtribs.",2042,15033.5,11509.25,19082.5
"alternative","MiddleYukonR.andtribs.",2043,14756,11671,18926
"alternative","MiddleYukonR.andtribs.",2044,14849,11694,19095.75
"alternative","MiddleYukonR.andtribs.",2045,15034,11501.5,19114.25
"alternative","MiddleYukonR.andtribs.",2046,14959.5,11647.25,18942.5
"alternative","MiddleYukonR.andtribs.",2047,14735,11524.5,19158.25
"alternative","MiddleYukonR.andtribs.",2048,14951.5,11645,18930.5
"alternative","MiddleYukonR.andtribs.",2049,15104,11425,19111.25
"alternative","MiddleYukonR.andtribs.",2050,14761.5,11689,19060
"alternative","MiddleYukonR.andtribs.",2051,14876.5,11809.75,18823.25
"alternative","Nordenskiold",2024,1398,1302,1498.25
"alternative","Nordenskiold",2025,1642.5,1331.75,2067.75
"alternative","Nordenskiold",2026,1816.5,1332.75,2520
"alternative","Nordenskiold",2027,1843,1312.5,2561.75
"alternative","Nordenskiold",2028,1843,1313,2628.5
"alternative","Nordenskiold",2029,2160,1488.25,3067
"alternative","Nordenskiold",2030,2220,1529,3124.25
"alternative","Nordenskiold",2031,2169,1548,3105.5
"alternative","Nordenskiold",2032,2188,1482.5,3297.25
"alternative","Nordenskiold",2033,2137.5,1497,3310.5
"alternative","Nordenskiold",2034,2252.5,1520,3328
"alternative","Nordenskiold",2035,2281.5,1613.5,3308.75
"alternative","Nordenskiold",2036,2310.5,1558.75,3388
"alternative","Nordenskiold",2037,2321.5,1568.5,3229
"alternative","Nordenskiold",2038,2238,1544.5,3263.5
"alternative","Nordenskiold",2039,2280.5,1547.5,3304
"alternative","Nordenskiold",2040,2272,1550.5,3287.5
"alternative","Nordenskiold",2041,2260.5,1505,3212
"alternative","Nordenskiold",2042,2272,1585,3165
"alternative","Nordenskiold",2043,2284.5,1552.5,3208.75
"alternative","Nordenskiold",2044,2290,1607.75,3230.75
"alternative","Nordenskiold",2045,2182,1574.25,3290
"alternative","Nordenskiold",2046,2214.5,1493.5,3128.25
"alternative","Nordenskiold",2047,2225.5,1522.5,3177.25
"alternative","Nordenskiold",2048,2263.5,1552.75,3310
"alternative","Nordenskiold",2049,2298.5,1547,3374.5
"alternative","Nordenskiold",2050,2253,1538.75,3169.5
"alternative","Nordenskiold",2051,2268.5,1599.75,3157.5
"alternative","NorthernYukonR.andtribs.",2024,2530.5,2272,2848.25
"alternative","NorthernYukonR.andtribs.",2025,2976,2449.5,3708
"alternative","NorthernYukonR.andtribs.",2026,3409,2668,4420.5
"alternative","NorthernYukonR.andtribs.",2027,3126,2324.5,4156.25
"alternative","NorthernYukonR.andtribs.",2028,2572.5,1910,3361.25
"alternative","NorthernYukonR.andtribs.",2029,3172,2289.75,4229.5
"alternative","NorthernYukonR.andtribs.",2030,3474,2619.25,4868.25
"alternative","NorthernYukonR.andtribs.",2031,3820,2714.75,5142
"alternative","NorthernYukonR.andtribs.",2032,3763,2718.75,5184.75
"alternative","NorthernYukonR.andtribs.",2033,3567,2452,4922.25
"alternative","NorthernYukonR.andtribs.",2034,3471.5,2412.75,5091.5
"alternative","NorthernYukonR.andtribs.",2035,3789,2570.75,5314.75
"alternative","NorthernYukonR.andtribs.",2036,4071,2755.75,5572.75
"alternative","NorthernYukonR.andtribs.",2037,3901.5,2716.75,5572.5
"alternative","NorthernYukonR.andtribs.",2038,3869,2597.5,5480.5
"alternative","NorthernYukonR.andtribs.",2039,3943.5,2612,5637
"alternative","NorthernYukonR.andtribs.",2040,3883.5,2738.25,5497
"alternative","NorthernYukonR.andtribs.",2041,3971,2740.5,5629.75
"alternative","NorthernYukonR.andtribs.",2042,4201,2740.5,5730.75
"alternative","NorthernYukonR.andtribs.",2043,3999,2680.75,5663.25
"alternative","NorthernYukonR.andtribs.",2044,4045,2669.5,5592
"alternative","NorthernYukonR.andtribs.",2045,4007,2714,5714.75
"alternative","NorthernYukonR.andtribs.",2046,4088.5,2713.5,5688.5
"alternative","NorthernYukonR.andtribs.",2047,4091,2752.5,5618.5
"alternative","NorthernYukonR.andtribs.",2048,4057.5,2691,5781.5
"alternative","NorthernYukonR.andtribs.",2049,4124,2726,5801.75
"alternative","NorthernYukonR.andtribs.",2050,4132.5,2686.25,5678
"alternative","NorthernYukonR.andtribs.",2051,4109,2759.75,5691.5
"alternative","Pelly",2024,1789,1648.75,1945
"alternative","Pelly",2025,2484.5,2095.25,2876.25
"alternative","Pelly",2026,3509,2899,4332.25
"alternative","Pelly",2027,4228.5,3460.5,5087
"alternative","Pelly",2028,3132,2570.75,3910
"alternative","Pelly",2029,3287,2712.25,4063.75
"alternative","Pelly",2030,3661,2866.25,4604.5
"alternative","Pelly",2031,4432.5,3430.25,5684.25
"alternative","Pelly",2032,5129.5,4002.25,6689
"alternative","Pelly",2033,5292.5,3993.5,6668.25
"alternative","Pelly",2034,4857.5,3595,6546.5
"alternative","Pelly",2035,4984.5,3713.5,6711
"alternative","Pelly",2036,5557.5,4085,7217.5
"alternative","Pelly",2037,5928.5,4390.75,7689.5
"alternative","Pelly",2038,6118,4642,8079
"alternative","Pelly",2039,6287,4599.5,8162
"alternative","Pelly",2040,6192,4588,8060.25
"alternative","Pelly",2041,6165,4694.25,8216
"alternative","Pelly",2042,6693.5,4914.5,8585.5
"alternative","Pelly",2043,6712,5068.25,8701.75
"alternative","Pelly",2044,6786.5,5152.5,8752.25
