"HCR","CU","year","S.50","S.25","S.75"
"IMEG","Big.Salmon",2024,1903.5,1846,1972
"IMEG","Big.Salmon",2025,2030,1725.5,2440.25
"IMEG","Big.Salmon",2026,1750.5,1373.75,2213.5
"IMEG","Big.Salmon",2027,1710,1307.75,2255.75
"IMEG","Big.Salmon",2028,1661.5,1254,2198.5
"IMEG","Big.Salmon",2029,1589,1202.5,2128.5
"IMEG","Big.Salmon",2030,1576.5,1172.25,2120.25
"IMEG","Big.Salmon",2031,1557.5,1092,2155
"IMEG","Big.Salmon",2032,1362,913.75,1980
"IMEG","Big.Salmon",2033,1309,894.25,2018.75
"IMEG","Big.Salmon",2034,1309,877.75,1985
"IMEG","Big.Salmon",2035,1285.5,836,1902.5
"IMEG","Big.Salmon",2036,1249,810.25,1908.25
"IMEG","Big.Salmon",2037,1195,738.5,1871.25
"IMEG","Big.Salmon",2038,1122.5,689.75,1861.5
"IMEG","Big.Salmon",2039,1127,652.25,1843.75
"IMEG","Big.Salmon",2040,1077.5,634,1839.75
"IMEG","Big.Salmon",2041,1078.5,610,1893.25
"IMEG","Big.Salmon",2042,1034.5,583.75,1802.75
"IMEG","Big.Salmon",2043,1020.5,539.75,1781
"IMEG","Big.Salmon",2044,971,511.5,1783.75
"IMEG","Big.Salmon",2045,957,495,1805
"IMEG","Big.Salmon",2046,938,474.75,1790.25
"IMEG","Big.Salmon",2047,954,457,1741
"IMEG","Big.Salmon",2048,944,440,1707
"IMEG","Big.Salmon",2049,852.5,417.75,1701.75
"IMEG","Big.Salmon",2050,852,398,1708.25
"IMEG","Big.Salmon",2051,861,385.75,1744.25
"IMEG","MiddleYukonR.andtribs.",2024,4629,4204.25,5117.5
"IMEG","MiddleYukonR.andtribs.",2025,5046,4185.25,6183.25
"IMEG","MiddleYukonR.andtribs.",2026,4592.5,3472.5,6102.75
"IMEG","MiddleYukonR.andtribs.",2027,3767.5,2788.75,5168
"IMEG","MiddleYukonR.andtribs.",2028,2845.5,2070.75,4039.25
"IMEG","MiddleYukonR.andtribs.",2029,2639,1898,3718.5
"IMEG","MiddleYukonR.andtribs.",2030,3017,2119.25,4408.25
"IMEG","MiddleYukonR.andtribs.",2031,3024.5,2062.5,4652
"IMEG","MiddleYukonR.andtribs.",2032,2671.5,1697.25,4279.25
"IMEG","MiddleYukonR.andtribs.",2033,2268,1369,3911.25
"IMEG","MiddleYukonR.andtribs.",2034,2024,1175.5,3463.25
"IMEG","MiddleYukonR.andtribs.",2035,1918,1057,3472.75
"IMEG","MiddleYukonR.andtribs.",2036,2030,1146.5,3748.5
"IMEG","MiddleYukonR.andtribs.",2037,1924,1017,3656.5
"IMEG","MiddleYukonR.andtribs.",2038,1753.5,893.75,3495.5
"IMEG","MiddleYukonR.andtribs.",2039,1646.5,730.5,3274.25
"IMEG","MiddleYukonR.andtribs.",2040,1467,676.5,3146.75
"IMEG","MiddleYukonR.andtribs.",2041,1464.5,649.5,3138.5
"IMEG","MiddleYukonR.andtribs.",2042,1487,631.5,3090.75
"IMEG","MiddleYukonR.andtribs.",2043,1443,565.25,3023
