"brood_year","lwr","mid","upr","CU","model"
1985,3.97497754814909,5.7115323512609,8.00672842279906,"Big.Salmon","spw"
1986,4.40610243012159,6.02089431435791,8.18660053039535,"Big.Salmon","spw"
1987,4.30971173421136,5.80866872664918,7.86227462416132,"Big.Salmon","spw"
1988,4.77655205605418,6.41462421692207,8.58924901477967,"Big.Salmon","spw"
1989,5.15524892853014,6.97991843266631,9.43506927789946,"Big.Salmon","spw"
1990,4.54671629501042,6.11972594500224,8.24425914329269,"Big.Salmon","spw"
1991,4.55046650953833,6.17904692992575,8.29084249108182,"Big.Salmon","spw"
1992,3.43500817999858,4.82178267149914,6.59407941232826,"Big.Salmon","spw"
1993,3.55019100982378,4.91297266420142,6.59172307616156,"Big.Salmon","spw"
1994,3.57738680321316,4.92252564656918,6.69461064432035,"Big.Salmon","spw"
1995,3.55591102459859,4.93906304310482,6.79378737822783,"Big.Salmon","spw"
1996,3.37260414759778,4.74312050057295,6.67849368233459,"Big.Salmon","spw"
1997,3.30972786514344,4.74546280867485,6.73209299149006,"Big.Salmon","spw"
1998,4.02406834774964,5.46804918991392,7.47370325660859,"Big.Salmon","spw"
1999,4.10979170610861,5.57537295327925,7.54597985446722,"Big.Salmon","spw"
2000,4.08088816007028,5.57570082702623,7.62468536257239,"Big.Salmon","spw"
2001,4.00145531242269,5.55603418702578,7.72828869993763,"Big.Salmon","spw"
2002,3.22433206334594,4.55704015964125,6.42206220121882,"Big.Salmon","spw"
2003,3.471986151243,4.8264423372956,6.65639946627982,"Big.Salmon","spw"
2004,3.24780702095517,4.48607616977757,6.25353643661813,"Big.Salmon","spw"
2005,3.00038645246073,4.25397111483677,6.1046799076112,"Big.Salmon","spw"
2006,2.52324173421252,3.74088865958292,5.55561690727641,"Big.Salmon","spw"
2007,2.42578388968002,3.5435292963624,5.25550423518401,"Big.Salmon","spw"
2008,2.89069811042253,4.0536342319969,5.66006945423456,"Big.Salmon","spw"
2009,3.05593978923949,4.41408720628139,6.34616624929677,"Big.Salmon","spw"
2010,2.93753814168342,4.12246194156848,5.81986830153208,"Big.Salmon","spw"
2011,3.08637303252564,4.36281692210557,6.12128955090229,"Big.Salmon","spw"
2012,2.931239650771,4.09148180281935,5.69874051240737,"Big.Salmon","spw"
2013,2.46953335813661,3.46174217691543,4.92206006180577,"Big.Salmon","spw"
2014,1.87327568619544,2.73374767144381,4.01096007186973,"Big.Salmon","spw"
2015,1.28002055799908,1.97797958837992,3.102388969007,"Big.Salmon","spw"
2016,0.895676678269103,1.42792658154891,2.36862718871938,"Big.Salmon","spw"
2017,0.73747537290408,1.17534223387995,2.01044499627122,"Big.Salmon","spw"
2018,0.803456190609117,1.21672074409771,1.96731389755308,"Big.Salmon","spw"
2019,0.843120761414619,1.28775857152061,2.08279450947864,"Big.Salmon","spw"
2020,0.824462478230927,1.35192694735215,2.31076444705241,"Big.Salmon","spw"
2021,0.755326087028924,1.36282531390591,2.49079392635819,"Big.Salmon","spw"
2022,0.700605173086148,1.36388766530931,2.65611200362695,"Big.Salmon","spw"
2023,0.659359529332002,1.37083797201413,2.798878653147,"Big.Salmon","spw"
2024,0.610742583147992,1.37068075901722,2.95832599207857,"Big.Salmon","spw"
1985,4.49265509164628,6.79613716615322,10.2971378265443,"MiddleYukonR.andtribs.","spw"
1986,5.07211199609471,7.40745389167319,10.7040077707105,"MiddleYukonR.andtribs.","spw"
1987,4.65851470550663,6.69276871507419,9.68796020210257,"MiddleYukonR.andtribs.","spw"
1988,5.31615879150382,7.52187898748459,10.6749072925883,"MiddleYukonR.andtribs.","spw"
1989,6.17359707954997,8.86760125459829,12.7254536970526,"MiddleYukonR.andtribs.","spw"
1990,5.26079581853831,7.57888592066433,10.886609844554,"MiddleYukonR.andtribs.","spw"
1991,5.48830038661803,8.02496949536868,11.8348810829466,"MiddleYukonR.andtribs.","spw"
1992,3.8254564702593,5.69013840730226,8.42665493194737,"MiddleYukonR.andtribs.","spw"
1993,4.1107800735447,5.93404996545074,8.6945455089812,"MiddleYukonR.andtribs.","spw"
1994,4.18916613614745,6.11956619648594,8.94962730369501,"MiddleYukonR.andtribs.","spw"
1995,4.20817760478377,6.43913631875578,10.0292418725041,"MiddleYukonR.andtribs.","spw"
1996,3.80966076317046,5.87506224444462,9.12748580143904,"MiddleYukonR.andtribs.","spw"
1997,3.50114149573065,5.55144610275097,8.82132018727398,"MiddleYukonR.andtribs.","spw"
1998,3.45533443150995,5.20042612076932,7.86022326802628,"MiddleYukonR.andtribs.","spw"
1999,2.82120602964796,4.1660371779044,6.22033819761563,"MiddleYukonR.andtribs.","spw"
2000,2.47991095939286,3.74597553711114,5.73854861587992,"MiddleYukonR.andtribs.","spw"
2001,2.25507441073174,3.50744204260021,5.49338080303219,"MiddleYukonR.andtribs.","spw"
2002,1.82848683126623,2.82261216734768,4.40962226402727,"MiddleYukonR.andtribs.","spw"
2003,1.99695774848545,2.9360985201533,4.33754368212733,"MiddleYukonR.andtribs.","spw"
2004,1.47924234885148,2.22685072977304,3.40442013970294,"MiddleYukonR.andtribs.","spw"
2005,1.62620977879018,2.35244008691819,3.42935663328022,"MiddleYukonR.andtribs.","spw"
2006,1.51345556732859,2.24853930494019,3.42583617123912,"MiddleYukonR.andtribs.","spw"
2007,1.89540981883602,2.75131547608677,4.04945715149071,"MiddleYukonR.andtribs.","spw"
2008,2.11213699449692,3.02070255134044,4.33188318792634,"MiddleYukonR.andtribs.","spw"
2009,2.8495893993162,3.97489411769506,5.57929263379075,"MiddleYukonR.andtribs.","spw"
2010,3.169816172949,4.43324844000558,6.19935084318332,"MiddleYukonR.andtribs.","spw"
2011,3.42313727605767,4.81562032811926,6.69979944097041,"MiddleYukonR.andtribs.","spw"
2012,3.60774759097233,5.26900435773729,7.66470750742817,"MiddleYukonR.andtribs.","spw"
2013,2.88913023938178,4.15133160942125,5.98738597428688,"MiddleYukonR.andtribs.","spw"
2014,2.12076853248933,3.19309006414449,4.89739928004174,"MiddleYukonR.andtribs.","spw"
2015,1.40578851717441,2.18363123828183,3.45516486204002,"MiddleYukonR.andtribs.","spw"
2016,0.955680517844707,1.46202509486213,2.24331760915438,"MiddleYukonR.andtribs.","spw"
2017,0.587700039020571,0.968127101988152,1.63495371723427,"MiddleYukonR.andtribs.","spw"
2018,0.540980879523109,0.867149048861046,1.47287363221886,"MiddleYukonR.andtribs.","spw"
2019,0.584981807816078,0.945178863541924,1.57410146190909,"MiddleYukonR.andtribs.","spw"
2020,0.564256963825133,1.0005240449313,1.81472793289012,"MiddleYukonR.andtribs.","spw"
2021,0.496457467185495,0.993829640041486,2.03116277835078,"MiddleYukonR.andtribs.","spw"
2022,0.457054432846535,1.00500873321826,2.23784707830233,"MiddleYukonR.andtribs.","spw"
2023,0.416702452701266,1.00578593875235,2.44990794882055,"MiddleYukonR.andtribs.","spw"
2024,0.378848968709098,1.01442427933167,2.65993242299845,"MiddleYukonR.andtribs.","spw"
1985,2.67887347582355,4.80432059690192,8.6847963724295,"Nordenskiold","spw"
1986,3.08329936686741,5.19703315841366,8.91328422253626,"Nordenskiold","spw"
1987,3.22921577419519,5.59944512213257,9.5104599450674,"Nordenskiold","spw"
1988,4.40180310642528,7.74996172742239,13.9212539407447,"Nordenskiold","spw"
1989,5.42984944838486,9.51411058377868,16.3994512800528,"Nordenskiold","spw"
1990,4.63936376669266,7.48120112241047,12.4504441635666,"Nordenskiold","spw"
1991,5.35369427834836,8.87048099226818,14.5123785921179,"Nordenskiold","spw"
1992,4.90530119770915,7.82645568412495,12.7212292198577,"Nordenskiold","spw"
1993,4.94519616853283,8.07790992984494,13.0258738788084,"Nordenskiold","spw"
1994,4.148537474151,6.76790359249881,11.1089170402784,"Nordenskiold","spw"
1995,3.85130863218557,6.56205809269728,11.4666696564881,"Nordenskiold","spw"
1996,2.78259104145224,4.67883449492377,7.86035912764773,"Nordenskiold","spw"
1997,2.35509363707033,3.90246153200605,6.59457048730214,"Nordenskiold","spw"
1998,2.31007618603579,3.81021534694337,6.17312621983539,"Nordenskiold","spw"
1999,1.86290744704922,3.2289131791452,5.51170465123782,"Nordenskiold","spw"
2000,2.29578429326907,3.8081692261832,6.21177646225919,"Nordenskiold","spw"
2001,2.74530048692244,4.63846615915783,7.8825589411414,"Nordenskiold","spw"
2002,2.29716878107133,3.69221934051381,5.90219806299749,"Nordenskiold","spw"
2003,2.29195005285265,3.57108942286135,5.63240513196709,"Nordenskiold","spw"
2004,1.9803285261523,3.12304992660758,4.95254644163308,"Nordenskiold","spw"
2005,2.03383415056696,3.31097436700908,5.42483750482765,"Nordenskiold","spw"
2006,1.17562924453307,2.04779913822646,3.60713469344558,"Nordenskiold","spw"
2007,0.56780329476574,1.30060773823445,2.97228423008421,"Nordenskiold","spw"
2008,0.801602634674061,1.55504678977334,3.11425530996073,"Nordenskiold","spw"
2009,1.5900406980159,2.5277198080972,4.1220760459062,"Nordenskiold","spw"
2010,2.19208226300204,3.39603253120377,5.389768618149,"Nordenskiold","spw"
2011,3.06934065571143,5.15207767368683,8.61583768464839,"Nordenskiold","spw"
2012,3.56446733592226,6.75386295809549,12.4737660252271,"Nordenskiold","spw"
2013,3.68326310360138,7.94745549815742,17.3576194923763,"Nordenskiold","spw"
2014,2.71310386659877,4.48288726878168,7.41523048607456,"Nordenskiold","spw"
2015,1.54907372400074,2.71615428000223,4.63367613752105,"Nordenskiold","spw"
2016,0.959452043455645,1.87270388110535,3.58788463043041,"Nordenskiold","spw"
2017,0.700202170356628,1.48790290406197,3.07587288255147,"Nordenskiold","spw"
2018,1.04430021420101,1.83764955310968,3.36443989532879,"Nordenskiold","spw"
2019,1.36325835244845,2.47009159851998,4.55514766432181,"Nordenskiold","spw"
2020,1.20136058515538,2.50081877030344,5.50201008945931,"Nordenskiold","spw"
2021,0.967962119125826,2.5300440756841,6.59717246522793,"Nordenskiold","spw"
2022,0.816910213656676,2.57022377664998,7.63005083243652,"Nordenskiold","spw"
2023,0.70178560009461,2.56306286969476,9.14208833261636,"Nordenskiold","spw"
2024,0.61899957615516,2.57203479875032,9.98283245119717,"Nordenskiold","spw"
1985,10.2927810248358,15.1684226542611,22.3522291457102,"NorthernYukonR.andtribs.","spw"
1986,10.3398098938945,14.7810411564919,21.1144889079371,"NorthernYukonR.andtribs.","spw"
1987,8.85020616487251,12.7312862372811,18.1405627880316,"NorthernYukonR.andtribs.","spw"
1988,8.07803200442901,12.0516504917203,17.6435845906381,"NorthernYukonR.andtribs.","spw"
1989,7.4253173741555,11.4132455977913,17.3319972165211,"NorthernYukonR.andtribs.","spw"
1990,4.54068434515275,8.24991064184514,14.2880754261081,"NorthernYukonR.andtribs.","spw"
1991,4.52816301119709,8.05730040911148,13.9506059529424,"NorthernYukonR.andtribs.","spw"
1992,2.98529134354768,5.6903737605128,10.1966166290954,"NorthernYukonR.andtribs.","spw"
1993,3.04254330782377,5.44054580050966,9.32387088292626,"NorthernYukonR.andtribs.","spw"
1994,2.67416107232918,4.95002936849203,8.65837216881968,"NorthernYukonR.andtribs.","spw"
1995,2.91291344699901,5.20744297708782,8.93523571064393,"NorthernYukonR.andtribs.","spw"
1996,3.20127189555236,5.41278016293383,8.74570678846404,"NorthernYukonR.andtribs.","spw"
1997,4.23623492554083,6.66875572936688,10.3204220277051,"NorthernYukonR.andtribs.","spw"
1998,5.2781781948984,7.81235504770024,11.3127080672092,"NorthernYukonR.andtribs.","spw"
1999,5.28145449489017,7.63963919969855,10.9116824658352,"NorthernYukonR.andtribs.","spw"
2000,4.40871110573649,6.52419699955455,9.56941843375675,"NorthernYukonR.andtribs.","spw"
2001,3.58821478802101,5.54355717956876,8.48508373184089,"NorthernYukonR.andtribs.","spw"
2002,2.50428807303676,4.16405141642751,6.74758659360053,"NorthernYukonR.andtribs.","spw"
2003,2.26757286422697,4.06032333331115,6.8912023132502,"NorthernYukonR.andtribs.","spw"
2004,1.62271469674296,3.13644381867606,5.53085262520119,"NorthernYukonR.andtribs.","spw"
2005,1.62127714770708,3.01902470757936,5.24275118113968,"NorthernYukonR.andtribs.","spw"
2006,1.6016736286411,2.75687831790166,4.58348838111371,"NorthernYukonR.andtribs.","spw"
2007,1.80512528180899,2.70648957209457,4.1431876040939,"NorthernYukonR.andtribs.","spw"
2008,1.58357695699986,2.41679682772481,3.66457866664429,"NorthernYukonR.andtribs.","spw"
2009,1.68414284721163,2.49859146941373,3.66121953180259,"NorthernYukonR.andtribs.","spw"
2010,1.8204329047121,2.6047383913159,3.7109600127636,"NorthernYukonR.andtribs.","spw"
2011,2.1845223589927,3.05495580810092,4.26746246721656,"NorthernYukonR.andtribs.","spw"
2012,2.00641939541532,2.82066586886004,3.95992172634233,"NorthernYukonR.andtribs.","spw"
2013,1.6620763383744,2.38823478191581,3.39681285381613,"NorthernYukonR.andtribs.","spw"
2014,1.57666591649028,2.25104412595316,3.16454016342322,"NorthernYukonR.andtribs.","spw"
2015,1.17077036254891,1.70661384638742,2.49638037323636,"NorthernYukonR.andtribs.","spw"
2016,0.719126300338965,1.15247307384818,1.79240769447495,"NorthernYukonR.andtribs.","spw"
2017,0.521221385098198,0.887839306700035,1.46386626462102,"NorthernYukonR.andtribs.","spw"
2018,0.664365368636909,1.01553745948487,1.5766268280282,"NorthernYukonR.andtribs.","spw"
2019,0.789058468940071,1.20924185844522,1.86216025100216,"NorthernYukonR.andtribs.","spw"
2020,0.732169671343331,1.23846060997122,2.12135390117345,"NorthernYukonR.andtribs.","spw"
2021,0.646854796596409,1.24398144750826,2.37012010470794,"NorthernYukonR.andtribs.","spw"
2022,0.58605737564276,1.24540760400564,2.5934123845595,"NorthernYukonR.andtribs.","spw"
2023,0.536635065941914,1.25565456380081,2.82442393663479,"NorthernYukonR.andtribs.","spw"
2024,0.491214395494196,1.25929015693548,3.06547557295386,"NorthernYukonR.andtribs.","spw"
1985,3.96859988503233,6.00903802627448,9.16099371369807,"Pelly","spw"
1986,4.52822264045065,6.78570641107332,10.4071673475918,"Pelly","spw"
1987,3.69276847016994,5.34397129658295,7.78200128710757,"Pelly","spw"
1988,3.40658499047748,4.93250592013488,7.16338393157852,"Pelly","spw"
1989,3.42334397611761,5.02994923140908,7.33953377470156,"Pelly","spw"
1990,2.55320020545635,3.87436859439728,6.01630030726842,"Pelly","spw"
1991,3.05302698697483,4.42006298702649,6.54473165146567,"Pelly","spw"
1992,2.53059295168911,3.79494102310988,5.59395105952627,"Pelly","spw"
1993,3.24999289520385,4.53123351464274,6.29146603058621,"Pelly","spw"
1994,3.08464361624692,4.32707220113351,5.97996541767865,"Pelly","spw"
1995,2.86665015807588,3.98535356414815,5.55411581669527,"Pelly","spw"
1996,2.43701989109807,3.46750097928539,4.93249737640046,"Pelly","spw"
1997,2.74793834979279,3.85443848396768,5.41498881622869,"Pelly","spw"
1998,3.31406836342912,4.64080163982723,6.45148733724321,"Pelly","spw"
1999,3.66783386686114,5.09624102736609,7.01590184768739,"Pelly","spw"
2000,3.28371737437948,4.70105595556786,6.55537875053476,"Pelly","spw"
2001,3.10802682567597,4.48566844730277,6.30466624909226,"Pelly","spw"
2002,2.6025436081466,3.6662067279613,5.10920388545866,"Pelly","spw"
2003,2.44060058943054,3.51226424550955,5.07890919407648,"Pelly","spw"
2004,2.10224897099203,3.05683814368818,4.47660086063285,"Pelly","spw"
2005,1.88722541054771,2.86919892927493,4.32171396603269,"Pelly","spw"
2006,1.5756265120992,2.36337037734136,3.52260687837175,"Pelly","spw"
2007,1.41641631419469,2.03424761207147,2.95741007915911,"Pelly","spw"
2008,1.44358175637405,2.03885858855583,2.90437034726545,"Pelly","spw"
2009,1.61598959809276,2.36765085760198,3.48272662271814,"Pelly","spw"
2010,1.82416897450452,2.57004754479861,3.66883130863572,"Pelly","spw"
2011,2.1499675388534,3.04039915129794,4.26230821350803,"Pelly","spw"
2012,2.05398994180892,2.84474642990102,3.90882845091633,"Pelly","spw"
2013,1.91625264660722,2.65357395533545,3.63126075658646,"Pelly","spw"
2014,1.49477663126528,2.11366872281511,2.96550358726985,"Pelly","spw"
2015,0.962842293112946,1.43481542525261,2.13566572361198,"Pelly","spw"
2016,0.626470292741384,0.938361460433572,1.40798820118623,"Pelly","spw"
2017,0.417528320051461,0.627576864196566,0.974804687458601,"Pelly","spw"
2018,0.400860249719804,0.581464968431616,0.887270727807747,"Pelly","spw"
2019,0.405322458525768,0.601502946079274,0.928963709492554,"Pelly","spw"
2020,0.364388222365061,0.614267049526547,1.04355121727825,"Pelly","spw"
2021,0.328625923391906,0.615585351092528,1.17092572577188,"Pelly","spw"
2022,0.297649487392056,0.620409847232871,1.28480673592901,"Pelly","spw"
2023,0.277398171548168,0.622800527630721,1.39705020870377,"Pelly","spw"
2024,0.255257852092184,0.621014962233878,1.47098277268175,"Pelly","spw"
1985,3.41744225144446,5.91811279501929,10.0458627380008,"Stewart","spw"
1986,4.13898319902471,6.51567031347401,10.4284894325221,"Stewart","spw"
1987,3.80794725060236,6.05621868652245,9.3983908096937,"Stewart","spw"
1988,4.47200296862933,6.79417828082659,10.1783451675348,"Stewart","spw"
1989,5.50539372505752,8.20388460235207,12.1948411511818,"Stewart","spw"
1990,5.01945827371404,7.63327440328846,11.3490393661863,"Stewart","spw"
1991,6.20249308982071,9.32673322720906,14.0309755404905,"Stewart","spw"
1992,6.26486993150328,9.48195398787513,14.4778056067223,"Stewart","spw"
1993,5.84006486201119,8.92968092706039,13.6731921407374,"Stewart","spw"
1994,3.98160035571275,6.12650905228313,9.34616045153994,"Stewart","spw"
1995,3.23108599352545,5.18759645008259,8.18050283153122,"Stewart","spw"
1996,2.65594623975787,4.54560350668544,7.41720820705344,"Stewart","spw"
1997,2.39160670255562,4.39465606268357,7.16628191517374,"Stewart","spw"
1998,2.8924738101098,4.90746865493344,7.93557089553411,"Stewart","spw"
1999,2.86242258197845,4.55457372921262,7.15027913604494,"Stewart","spw"
2000,3.1393384212894,4.78715483534993,7.21571775339506,"Stewart","spw"
2001,4.0028151588502,6.00400211171821,9.11807161034361,"Stewart","spw"
2002,3.82598713874858,5.59735408374041,8.28800142745763,"Stewart","spw"
2003,3.62470919834234,5.25437755827129,7.72070108795882,"Stewart","spw"
2004,2.95759637813629,4.32662114667835,6.32411149446756,"Stewart","spw"
2005,2.84450545216377,4.11301840623781,6.04345986586755,"Stewart","spw"
2006,2.10350359372575,3.25777840490526,4.95976542920778,"Stewart","spw"
2007,1.42097024751807,2.61087448493359,4.27094175100834,"Stewart","spw"
2008,1.3475038148467,2.37209232271039,3.9272396326006,"Stewart","spw"
2009,1.71213155657049,2.7011296544138,4.14532411004152,"Stewart","spw"
2010,2.00269134750838,3.01668472675019,4.52216653807186,"Stewart","spw"
2011,2.38722684073452,3.52783259907329,5.34951502680564,"Stewart","spw"
2012,2.4876294707662,3.71286827076126,5.72097290703338,"Stewart","spw"
2013,2.39479693961119,3.599071645701,5.5468385723192,"Stewart","spw"
2014,2.02583276659378,2.96942068990416,4.35039928528941,"Stewart","spw"
2015,1.41627341185186,2.15790527693028,3.27812876469403,"Stewart","spw"
2016,0.932948898522206,1.59930662324943,2.64030774542253,"Stewart","spw"
2017,0.712918836557849,1.31425606679815,2.32775494201433,"Stewart","spw"
2018,0.902606195999755,1.4588899379074,2.42459163022798,"Stewart","spw"
2019,0.955631184562832,1.61215835941129,2.72605584500403,"Stewart","spw"
2020,0.922913637463938,1.70705025730171,3.11988559457831,"Stewart","spw"
2021,0.810235687235126,1.73367185333778,3.53756043002564,"Stewart","spw"
2022,0.711982696857433,1.74976793076933,3.87773346026024,"Stewart","spw"
2023,0.658754549626214,1.73904392065143,4.14307655306689,"Stewart","spw"
2024,0.602499973750803,1.77103603116134,4.56947198870198,"Stewart","spw"
1985,5.77735087804341,9.81904676374113,16.0801324332704,"UpperYukonR.","spw"
1986,8.1688936210333,12.8311554297646,19.9914298011127,"UpperYukonR.","spw"
1987,8.40328165257572,13.0726955572951,20.0452569138591,"UpperYukonR.","spw"
1988,8.22163757641435,12.5580856306109,19.1958362610596,"UpperYukonR.","spw"
1989,8.56533795798273,13.4711185205327,22.2207345035336,"UpperYukonR.","spw"
1990,7.58406887645118,11.4225352128569,17.6433353124516,"UpperYukonR.","spw"
1991,7.18334011166043,10.7893668924879,16.7322830168485,"UpperYukonR.","spw"
1992,5.82602444613925,8.89808209420592,13.7126442294319,"UpperYukonR.","spw"
1993,4.85713668096373,7.41563343211482,11.2627221644153,"UpperYukonR.","spw"
1994,4.07530999987616,6.4720475643011,9.80401449257174,"UpperYukonR.","spw"
1995,3.70164393694952,5.94166265078436,9.17399502517029,"UpperYukonR.","spw"
1996,3.5576719085016,5.7753352333053,9.01281374108006,"UpperYukonR.","spw"
1997,4.01601202101998,6.21236245727711,9.44000947958411,"UpperYukonR.","spw"
1998,4.27233478148929,6.49268102772974,9.88580835450854,"UpperYukonR.","spw"
1999,3.70534967690394,5.61406327109598,8.34323325902392,"UpperYukonR.","spw"
2000,3.18464937293267,4.90089400415282,7.51781154507662,"UpperYukonR.","spw"
2001,3.27336851166699,5.03259262456821,7.59878530730805,"UpperYukonR.","spw"
2002,3.54078961692457,5.30712098556353,7.87192347940336,"UpperYukonR.","spw"
2003,3.69291239304263,5.56171036263588,8.25163180649595,"UpperYukonR.","spw"
2004,3.17116230361451,5.03693594279173,7.65727803645996,"UpperYukonR.","spw"
2005,3.40353702731188,5.26093163321943,7.92039667341175,"UpperYukonR.","spw"
2006,4.0112181048913,5.99849479030766,8.90047352279774,"UpperYukonR.","spw"
2007,4.02698022272998,5.99539246914386,8.8845118850036,"UpperYukonR.","spw"
2008,3.76196159406753,5.70342057627265,8.55988898130942,"UpperYukonR.","spw"
2009,3.68464033102497,5.54151892974707,8.27272812916996,"UpperYukonR.","spw"
2010,3.30162159836606,5.20355430283155,7.93705229605084,"UpperYukonR.","spw"
2011,4.1076785476188,6.27273228070841,9.56641481056804,"UpperYukonR.","spw"
2012,4.49880536346731,7.28160648618424,12.7550402370199,"UpperYukonR.","spw"
2013,4.34048965833063,7.02588424639177,11.7429823082559,"UpperYukonR.","spw"
2014,3.91278750343967,6.36138504910274,10.6660555391248,"UpperYukonR.","spw"
2015,2.98482052539867,4.65394662667567,7.3176428984149,"UpperYukonR.","spw"
