Year,District,Period,Fishery,Stock,Contribution
2006,1,1,US_Comm,Border,0.063
2006,1,1,US_Comm,Pelly,0.161
2006,1,1,US_Comm,Carmacks,0.293
2006,1,1,US_Comm,Takhini,0.021
2006,1,2,US_Comm,Border,0.012
2006,1,2,US_Comm,Pelly,0.143
2006,1,2,US_Comm,Carmacks,0.268
2006,1,2,US_Comm,Takhini,0.085
2006,1,3,US_Comm,Border,0.021
2006,1,3,US_Comm,Pelly,0.084
2006,1,3,US_Comm,Carmacks,0.273
2006,1,3,US_Comm,Takhini,0.059
2006,1,4,US_Comm,Border,0.009
2006,1,4,US_Comm,Pelly,0.061
2006,1,4,US_Comm,Carmacks,0.216
2006,1,4,US_Comm,Takhini,0.069
2006,1,5,US_Comm,Border,0.019
2006,1,5,US_Comm,Pelly,0
2006,1,5,US_Comm,Carmacks,0.409
2006,1,5,US_Comm,Takhini,0.103
2006,2,1,US_Comm,Border,0.173
2006,2,1,US_Comm,Pelly,0.288
2006,2,1,US_Comm,Carmacks,0.142
2006,2,1,US_Comm,Takhini,0
2006,2,2,US_Comm,Border,
2006,2,2,US_Comm,Pelly,
2006,2,2,US_Comm,Carmacks,
2006,2,2,US_Comm,Takhini,
2006,2,3,US_Comm,Border,0.056
2006,2,3,US_Comm,Pelly,0.114
2006,2,3,US_Comm,Carmacks,0.352
2006,2,3,US_Comm,Takhini,0.007
2006,2,4,US_Comm,Border,0.014
2006,2,4,US_Comm,Pelly,0.048
2006,2,4,US_Comm,Carmacks,0.246
2006,2,4,US_Comm,Takhini,0.048
2006,2,5,US_Comm,Border,0
2006,2,5,US_Comm,Pelly,0.043
2006,2,5,US_Comm,Carmacks,0.311
2006,2,5,US_Comm,Takhini,0.073
2006,1,,US_Subsistence,Border,0.052
2006,1,,US_Subsistence,Pelly,0.234
2006,1,,US_Subsistence,Carmacks,0.106
2006,1,,US_Subsistence,Takhini,0.056
2006,3,,US_Comm,Border,0.205
2006,3,,US_Comm,Pelly,0.185
2006,3,,US_Comm,Carmacks,0.15
2006,3,,US_Comm,Takhini,0.003
2006,5,,US_Subsistence,Border,0.029
2006,5,,US_Subsistence,Pelly,0.198
2006,5,,US_Subsistence,Carmacks,0.287
2006,5,,US_Subsistence,Takhini,0.024
2006,5,,US_Comm,Border,0.19
2006,5,,US_Comm,Pelly,0.294
2006,5,,US_Comm,Carmacks,0.198
2006,5,,US_Comm,Takhini,0.024
2007,1,1,US_Comm,Border,0.057
2007,1,1,US_Comm,Pelly,0.222
2007,1,1,US_Comm,Carmacks,0.259
2007,1,1,US_Comm,Takhini,0.011
2007,1,2,US_Comm,Border,0.019
2007,1,2,US_Comm,Pelly,0.173
2007,1,2,US_Comm,Carmacks,0.252
2007,1,2,US_Comm,Takhini,0.008
2007,1,3,US_Comm,Border,0.029
2007,1,3,US_Comm,Pelly,0.107
2007,1,3,US_Comm,Carmacks,0.204
2007,1,3,US_Comm,Takhini,0.036
2007,1,4,US_Comm,Border,0.027
2007,1,4,US_Comm,Pelly,0.041
2007,1,4,US_Comm,Carmacks,0.313
2007,1,4,US_Comm,Takhini,0.04
2007,1,5,US_Comm,Border,0.068
2007,1,5,US_Comm,Pelly,0.025
2007,1,5,US_Comm,Carmacks,0.229
2007,1,5,US_Comm,Takhini,0.017
2007,1,6,US_Comm,Border,0
2007,1,6,US_Comm,Pelly,0.049
2007,1,6,US_Comm,Carmacks,0.112
2007,1,6,US_Comm,Takhini,0.028
2007,1,7,US_Comm,Border,0
2007,1,7,US_Comm,Pelly,0
2007,1,7,US_Comm,Carmacks,0.127
2007,1,7,US_Comm,Takhini,0.009
2007,1,8,US_Comm,Border,0.039
2007,1,8,US_Comm,Pelly,0.028
2007,1,8,US_Comm,Carmacks,0.162
2007,1,8,US_Comm,Takhini,0.013
2007,2,1,US_Comm,Border,0.16
2007,2,1,US_Comm,Pelly,0.3
2007,2,1,US_Comm,Carmacks,0.232
2007,2,1,US_Comm,Takhini,0
2007,2,2,US_Comm,Border,0.044
2007,2,2,US_Comm,Pelly,0.087
2007,2,2,US_Comm,Carmacks,0.306
2007,2,2,US_Comm,Takhini,0.01
2007,2,3,US_Comm,Border,0.034
2007,2,3,US_Comm,Pelly,0.182
2007,2,3,US_Comm,Carmacks,0.213
2007,2,3,US_Comm,Takhini,0.034
2007,2,4,US_Comm,Border,0.027
2007,2,4,US_Comm,Pelly,0.149
2007,2,4,US_Comm,Carmacks,0.274
2007,2,4,US_Comm,Takhini,0.083
2007,5,,US_Comm,Border,0.124
2007,5,,US_Comm,Pelly,0.269
2007,5,,US_Comm,Carmacks,0.216
2007,5,,US_Comm,Takhini,0.042
2007,1,,US_Subsistence,Border,0.179
2007,1,,US_Subsistence,Pelly,0.249
2007,1,,US_Subsistence,Carmacks,0.127
2007,1,,US_Subsistence,Takhini,0.011
2007,3,,US_Subsistence,Border,0.136
2007,3,,US_Subsistence,Pelly,0.258
2007,3,,US_Subsistence,Carmacks,0.217
2007,3,,US_Subsistence,Takhini,0.001
