SMU_ID,YEAR,TOTAL_EXPLOITATION_RATE,OCEAN_EXPLOITATION_RATE,MAINSTEM_MORTALITY_RATE,OCEAN_MORTALITY_RATE,TERMINAL_MORTALITY_RATE,CWT_MARINE_SURVIVAL_RATE,IN_RIVER_MORTALITY_RATE,TOTAL_MORTALITY_RATE,OCEAN_CATCH,OCEAN_AGE_1,OCEAN_AGE_2,OCEAN_AGE_3,OCEAN_AGE_4,OCEAN_AGE_5,OCEAN_AGE_6,OCEAN_AGE_7,TERMINAL_CATCH,TERMINAL_AGE_1,TERMINAL_AGE_2,TERMINAL_AGE_3,TERMINAL_AGE_4,TERMINAL_AGE_5,TERMINAL_AGE_6,TERMINAL_AGE_7,MAINSTEM_CATCH,MAINSTEM_AGE_1,MAINSTEM_AGE_2,MAINSTEM_AGE_3,MAINSTEM_AGE_4,MAINSTEM_AGE_5,MAINSTEM_AGE_6,MAINSTEM_AGE_7,TOTAL_CATCH,TOTAL_SPAWNERS,RECRUITS,TOTAL_RUN,TOTAL_OCEAN_RUN,TOTAL_TERMINAL_RUN,SPAWNERS_AGE_1,SPAWNERS_AGE_2,SPAWNERS_AGE_3,SPAWNERS_AGE_4,SPAWNERS_AGE_5,SPAWNERS_AGE_6,SPAWNERS_AGE_7,RUN_AGE_1,RUN_AGE_2,RUN_AGE_3,RUN_AGE_4,RUN_AGE_5,RUN_AGE_6,RUN_AGE_7,CATCH_AGE_1,CATCH_AGE_2,CATCH_AGE_3,CATCH_AGE_4,CATCH_AGE_5,CATCH_AGE_6,CATCH_AGE_7
Yukon Chinook Salmon,1981,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90451,106349,,196799,,,,,,,,,,,,,12739,12739,12739,12739,,,,,,,
Yukon Chinook Salmon,1982,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126408,35777,,162185,,,,,,,,,,,,,7810,7810,7810,7810,,,,,,,
Yukon Chinook Salmon,1983,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127886,55250,,183136,,,,,,,,,,,,,3409,3409,3409,3409,,,,,,,
Yukon Chinook Salmon,1984,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69968,68331,,138298,,,,,,,,,,,,,3270,3270,3270,3270,,,,,,,
Yukon Chinook Salmon,1985,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119290,39082,,158372,,,,,,,,,,,,,1511,1511,1511,1511,,,,,,,
Yukon Chinook Salmon,1986,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126371,49804,,176175,,,,,,,,,,,,,6253,6253,6253,6253,,,,,,,
Yukon Chinook Salmon,1987,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142313,33795,,176108,,,,,,,,,,,,,5396,5396,5396,5396,,,,,,,
Yukon Chinook Salmon,1988,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110884,49442,,160326,,,,,,,,,,,,,11739,11739,11739,11739,,,,,,,
Yukon Chinook Salmon,1989,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106049,60545,,166594,,,,,,,,,,,,,12303,12303,12303,12303,,,,,,,
Yukon Chinook Salmon,1990,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92141,85985,,178126,,,,,,,,,,,,,19598,19598,19598,19598,,,,,,,
