"","population","year","harv","cv"
"1","NorthernYukonR.andtribs.","1985",6871.70944215428,0.140912364
"2","NorthernYukonR.andtribs.","1986",13321.3556761864,0.131097544
"3","NorthernYukonR.andtribs.","1987",13869.9499396391,0.134475578
"4","NorthernYukonR.andtribs.","1988",12943.6207498692,0.127990569
"5","NorthernYukonR.andtribs.","1989",3189.15180763789,0.128515546
"6","NorthernYukonR.andtribs.","1990",8505.29061304113,0.135257381
"7","NorthernYukonR.andtribs.","1991",27431.3271488269,0.128439122
"8","NorthernYukonR.andtribs.","1992",28703.8082599181,0.143929542
"9","NorthernYukonR.andtribs.","1993",18812.5960982044,0.136226665
"10","NorthernYukonR.andtribs.","1994",20255.9679703978,0.130780246
"11","NorthernYukonR.andtribs.","1995",28106.723452259,0.139701013
"12","NorthernYukonR.andtribs.","1996",11000.2099122436,0.130230535
"13","NorthernYukonR.andtribs.","1997",13822.7152842567,0.142866215
"14","NorthernYukonR.andtribs.","1998",8583.08276373807,0.142760007
"15","NorthernYukonR.andtribs.","1999",6375.25281305918,0.130481325
"16","NorthernYukonR.andtribs.","2000",9297.02784956165,0.136242213
"17","NorthernYukonR.andtribs.","2001",4611.23761864591,0.143071125
"18","NorthernYukonR.andtribs.","2002",5587.94249302851,0.128987366
"19","NorthernYukonR.andtribs.","2003",12543.4746679023,0.123107603
"20","NorthernYukonR.andtribs.","2004",14432.867809744,0.128508529
"21","NorthernYukonR.andtribs.","2005",13287.0280172527,0.117971239
"22","NorthernYukonR.andtribs.","2006",9254.57000501874,0.129842566
"23","NorthernYukonR.andtribs.","2007",7452.10165664055,0.131906287
"24","NorthernYukonR.andtribs.","2008",5643.41792674921,0.125255227
"25","NorthernYukonR.andtribs.","2009",2392.82414949578,0.126748405
"26","NorthernYukonR.andtribs.","2010",3927.42984648621,0.137307023
"27","NorthernYukonR.andtribs.","2011",2190.34749258502,0.125075681
"28","NorthernYukonR.andtribs.","2012",2657.00669704162,0.13842444
"29","NorthernYukonR.andtribs.","2013",81.163707409885,0.156086008
"30","NorthernYukonR.andtribs.","2014",149.295799998741,0.169597727
"31","NorthernYukonR.andtribs.","2015",485.466288238401,0.128993897
"32","NorthernYukonR.andtribs.","2016",1557.88428274077,0.133122712
"33","NorthernYukonR.andtribs.","2017",2836.99913685747,0.158203776
"34","NorthernYukonR.andtribs.","2018",2204.31387881663,0.132341508
"35","NorthernYukonR.andtribs.","2019",2674.94801211804,0.128571558
"36","NorthernYukonR.andtribs.","2020",3958.86146617174,0.155626621
"37","NorthernYukonR.andtribs.","2021",189.344151400314,0.126471837
"38","NorthernYukonR.andtribs.","2022",67.5011069448049,0.143508469
"39","NorthernYukonR.andtribs.","2023",180.205553129394,0.141114649
"40","NorthernYukonR.andtribs.","2024",131.641270310763,0.141114649
"41","Whiteandtribs.","1985",7501.15551525222,0.140912364
"42","Whiteandtribs.","1986",14101.6584290318,0.131097544
"43","Whiteandtribs.","1987",9975.45964247973,0.134475578
"44","Whiteandtribs.","1988",2459.97861032027,0.127990569
"45","Whiteandtribs.","1989",3341.93699872266,0.128515546
"46","Whiteandtribs.","1990",1394.48469007198,0.135257381
"47","Whiteandtribs.","1991",1639.52310347047,0.128439122
"48","Whiteandtribs.","1992",12859.890820814,0.143929542
"49","Whiteandtribs.","1993",15336.2938196087,0.136226665
"50","Whiteandtribs.","1994",14052.9706071743,0.130780246
"51","Whiteandtribs.","1995",8896.80864462973,0.139701013
"52","Whiteandtribs.","1996",16015.073645476,0.130230535
"53","Whiteandtribs.","1997",6731.5772147761,0.142866215
"54","Whiteandtribs.","1998",6727.80449118511,0.142760007
"55","Whiteandtribs.","1999",5256.37881316098,0.130481325
"56","Whiteandtribs.","2000",9089.16189893707,0.136242213
"57","Whiteandtribs.","2001",2776.05041489359,0.143071125
"58","Whiteandtribs.","2002",2388.20921232309,0.128987366
"59","Whiteandtribs.","2003",3344.60741895828,0.123107603
"60","Whiteandtribs.","2004",4378.05966107504,0.128508529
"61","Whiteandtribs.","2005",5554.49386392685,0.117971239
"62","Whiteandtribs.","2006",2633.27207877155,0.129842566
"63","Whiteandtribs.","2007",4706.59600422286,0.131906287
"64","Whiteandtribs.","2008",2095.50282632154,0.125255227
"65","Whiteandtribs.","2009",1084.82693969401,0.126748405
"66","Whiteandtribs.","2010",1355.46789635548,0.137307023
"67","Whiteandtribs.","2011",1173.42135514914,0.125075681
"68","Whiteandtribs.","2012",1684.58211001381,0.13842444
"69","Whiteandtribs.","2013",14.7477733383989,0.156086008
"70","Whiteandtribs.","2014",137.718386371947,0.169597727
"71","Whiteandtribs.","2015",322.546771051645,0.128993897
"72","Whiteandtribs.","2016",537.638353265648,0.133122712
"73","Whiteandtribs.","2017",1471.17367573463,0.158203776
"74","Whiteandtribs.","2018",1137.91796677024,0.132341508
"75","Whiteandtribs.","2019",2475.8580315316,0.128571558
"76","Whiteandtribs.","2020",1151.04538619112,0.155626621
"77","Whiteandtribs.","2021",239.851683057846,0.126471837
"78","Whiteandtribs.","2022",254.413431661865,0.143508469
"79","Whiteandtribs.","2023",86.1587723428422,0.141114649
"80","Whiteandtribs.","2024",38.6052684563273,0.141114649
"81","Pelly","1985",30187.3538514231,0.140912364
"82","Pelly","1986",36829.8203151701,0.131097544
"83","Pelly","1987",35574.8815728398,0.134475578
"84","Pelly","1988",12130.1876592763,0.127990569
"85","Pelly","1989",19448.740813079,0.128515546
"86","Pelly","1990",22963.391523948,0.135257381
"87","Pelly","1991",17533.8915107925,0.128439122
"88","Pelly","1992",40716.6446316664,0.143929542
"89","Pelly","1993",10646.0629721417,0.136226665
"90","Pelly","1994",12923.7100231722,0.130780246
"91","Pelly","1995",17272.1179626084,0.139701013
