"Sample.Year","Sex","age_4","age_5","age_6","age_7"
1985,"male",0.009,0.048,0.305,0.146
1986,"male",0.003,0.071,0.246,0.112
1987,"male",0.003,0.047,0.312,0.072
1988,"male",0.014,0.127,0.123,0.162
1989,"male",0.019,0.12,0.201,0.081
1990,"male",0.044,0.165,0.21,0.033
1991,"male",0.013,0.196,0.146,0.078
1992,"male",0.056,0.133,0.382,0.011
1993,"male",0.051,0.185,0.228,0.015
1994,"male",0.02,0.235,0.26,0.074
1995,"male",0.055,0.078,0.272,0.078
1996,"male",0.023,0.281,0.113,0.087
1997,"male",0.028,0.086,0.296,0.012
1998,"male",0.026,0.338,0.143,0.028
1999,"male",0.014,0.14,0.268,0.013
2000,"male",0.042,0.197,0.225,0.036
2001,"male",0.019,0.236,0.336,0.049
2002,"male",0.075,0.22,0.259,0.007
2003,"male",0.01,0.24,0.27,0.023
2004,"male",0.048,0.182,0.228,0
2005,"male",0.022,0.238,0.269,0.03
2006,"male",0.043,0.361,0.121,0
2007,"male",0.051413881748072,0.336760925449871,0.177377892030848,0
2008,"male",0.0266666666666667,0.477333333333333,0.12,0.008
2009,"male",0.0772797527047913,0.296754250386399,0.230293663060278,0
2010,"male",0.0744047619047619,0.357142857142857,0.154761904761905,0.00892857142857143
2011,"male",0.019047619047619,0.228571428571429,0.216666666666667,0.0238095238095238
2012,"male",0.0650406504065041,0.235772357723577,0.195121951219512,0.00813008130081301
2013,"male",0.0415094339622641,0.19622641509434,0.230188679245283,0.0150943396226415
2014,"male",0.0676567656765677,0.435643564356436,0.138613861386139,0.0066006600660066
2015,"male",0.111111111111111,0.266450916936354,0.19848975188781,0.00323624595469256
2016,"male",0.0915915915915916,0.501501501501502,0.0825825825825826,0
2017,"male",0.043115438108484,0.328233657858136,0.119610570236439,0
2018,"male",0.101428571428571,0.331428571428571,0.131428571428571,0.00142857142857143
2019,"male",0.0848375451263538,0.319494584837545,0.113718411552347,0.0036101083032491
2020,"male",0.0351288056206089,0.243559718969555,0.147540983606557,0.0140515222482436
2021,"male",0.0214067278287462,0.379204892966361,0.140672782874618,0.00917431192660551
2022,"male",0.0504201680672269,0.352941176470588,0.134453781512605,0.0168067226890756
2023,"male",0.032258064516129,0.464516129032258,0.180645161290323,0.0258064516129032
2024,"male",0.117647058823529,0.401069518716578,0.133689839572193,0
