"Year","Stock","Counts","Mean","Lower95%","Median50%","Upper95%"
1981,"Canada","Run",196799.17362652,151818.716688613,195692.144736537,254172.875062269
1982,"Canada","Run",162184.99723144,128706.76132235,161666.305439372,197911.490290123
1983,"Canada","Run",183135.894993173,148133.625355232,181439.046119631,226550.121584679
1984,"Canada","Run",138298.131691165,107757.459101295,137145.804957875,175449.962229291
1985,"Canada","Run",158372.084626511,127862.123582502,157127.84635384,195582.846073116
1986,"Canada","Run",176174.835148868,144891.455913155,175274.605118374,215637.528809775
1987,"Canada","Run",176107.617761133,142465.79700936,174842.981029411,217561.429315791
1988,"Canada","Run",160325.910261449,131776.35846218,159607.191052181,189755.7864708
1989,"Canada","Run",166593.518638858,136211.165886162,166119.582640643,199029.283187031
1990,"Canada","Run",178126.295384824,146791.943001271,177312.657490871,213356.738557417
1991,"Canada","Run",141489.631576369,115329.780579227,140579.334590927,170668.209330385
1992,"Canada","Run",179658.243731711,143731.386691812,178780.795526013,221820.625656692
1993,"Canada","Run",159528.94875097,130762.403183321,159033.927816278,190879.213330039
1994,"Canada","Run",192917.036446229,159477.590177676,191298.586310541,231732.312750608
1995,"Canada","Run",214662.70892114,175174.760858961,212978.043247951,260163.534754751
1996,"Canada","Run",195905.033041314,163709.333070599,194539.961748392,237410.299553237
1997,"Canada","Run",199463.855589013,165322.529793396,198975.588554629,239939.605886579
1998,"Canada","Run",97138.5459841785,80063.6321808817,96627.6080373545,117085.39450815
1999,"Canada","Run",124130.801903036,101167.462230778,123798.968831645,150269.300784379
2000,"Canada","Run",53787.85581209,43919.0510185942,53224.8390153837,65224.5631057755
2001,"Canada","Run",103240.166783705,79089.8531666529,103002.10357556,130469.016270477
2002,"Canada","Run",93773.8841662684,80750.3631598611,93425.5044290153,108337.296380445
2003,"Canada","Run",172466.762323141,151406.787511379,172060.573762526,194732.53524777
2004,"Canada","Run",127491.512459645,107897.069610717,126975.381921977,149483.888351404
2005,"Canada","Run",131682.158329812,119008.368981495,130973.984314,147864.783037267
2006,"Canada","Run",126124.696969246,113255.302908293,125615.233101963,141431.607393194
2007,"Canada","Run",92823.6468649365,79490.3878111172,92450.9329611669,107978.200426559
2008,"Canada","Run",69577.1183371119,61552.1321661925,69564.9155885362,78404.5692249742
2009,"Canada","Run",86637.588204584,82340.4073109848,86448.9005174389,91834.9079456549
2010,"Canada","Run",62766.5261284285,55427.7687679049,62436.8942503263,72077.2584876581
2011,"Canada","Run",70496.6980672744,65719.9792779713,70213.9019761462,76587.5669794566
2012,"Canada","Run",51448.7802198481,46789.3325056785,51339.7148700159,56660.0908630122
2013,"Canada","Run",39617.2939595131,36875.346005757,39476.9997238044,43090.2957181714
2014,"Canada","Run",65110.8542525012,64188.9588923742,65091.123325204,66140.2596133716
2015,"Canada","Run",88340.5510420684,86861.0452408601,88301.7946497827,89939.1220162347
2016,"Canada","Run",83795.9472231163,80541.1782303461,83693.7861511197,87818.5830420125
2017,"Canada","Run",99945.6033554612,92061.8551219415,99724.9407729078,109921.024714252
2018,"Canada","Run",76646.4350999254,71114.2822516411,76383.613298928,83335.3166257557
2019,"Canada","Run",85148.1681247953,74677.9011077082,84871.1481245371,96314.7225306473
2020,"Canada","Run",52140.4181100234,46229.9542844099,51987.9019746363,59117.3662598813
2021,"Canada","Run",33239.4518340994,32677.5931647011,33223.6927219354,33917.7393492579
2022,"Canada","Run",13359.8377998294,12958.1945749833,13346.2542478575,13858.8303916635
2023,"Canada","Run",15815.7364202345,15432.1013260798,15810.3014524797,16287.9080624342
2024,"Canada","Run",25389.8915909118,24881.8515190335,25385.1293468692,25951.493758112
1981,"Middle","Run",141944.949809336,103647.690807606,140279.768549859,192967.765120964
1982,"Middle","Run",99512.1559789951,64431.2415079305,96042.4904859755,151460.780019908
1983,"Middle","Run",133812.795790123,90595.1711711982,130082.166997641,199242.177621166
1984,"Middle","Run",96371.3826267628,69399.0648776276,94754.4808221921,129052.137610857
1985,"Middle","Run",103653.401202011,67139.8944071886,100474.049330826,155752.808239831
1986,"Middle","Run",84344.5863588588,51464.7930673087,81449.064250808,130569.182194408
1987,"Middle","Run",81692.342122831,59750.7852142872,81004.4110138163,112036.482090827
1988,"Middle","Run",65319.2154971493,45294.0485033483,64546.590691704,89529.9307960413
1989,"Middle","Run",56116.6834414282,40547.426168133,55490.7918595436,75723.7662495263
1990,"Middle","Run",98250.7453237534,68679.7767668496,97011.4401223519,134045.598247962
1991,"Middle","Run",76331.9506661611,55020.768211077,75275.4189085943,101595.574554111
1992,"Middle","Run",79500.2529593686,57626.4526212097,78922.2795028461,108542.893643319
1993,"Middle","Run",120412.656055481,85805.0895589016,118536.719320321,160785.321621207
1994,"Middle","Run",138830.10664191,96731.8546413795,137272.915172962,191054.422213136
