"Sample.Year","Sex","age_4","age_5","age_6","age_7"
1985,"male",0.009,0.048,0.305,0.146
1986,"male",0.003,0.071,0.246,0.112
1987,"male",0.003,0.047,0.312,0.072
1988,"male",0.014,0.127,0.123,0.162
1989,"male",0.019,0.12,0.201,0.081
1990,"male",0.044,0.165,0.21,0.033
1991,"male",0.013,0.196,0.146,0.078
1992,"male",0.056,0.133,0.382,0.011
1993,"male",0.051,0.185,0.228,0.015
1994,"male",0.02,0.235,0.26,0.074
1995,"male",0.055,0.078,0.272,0.078
1996,"male",0.023,0.281,0.113,0.087
1997,"male",0.028,0.086,0.296,0.012
1998,"male",0.026,0.338,0.143,0.028
1999,"male",0.014,0.14,0.268,0.013
2000,"male",0.042,0.197,0.225,0.036
2001,"male",0.019,0.236,0.336,0.049
2002,"male",0.075,0.22,0.259,0.007
2003,"male",0.01,0.24,0.27,0.023
2004,"male",0.048,0.182,0.228,0
2005,"male",0.022,0.238,0.269,0.03
2006,"male",0.043,0.361,0.121,0
1985,"female",0,0.013,0.343,0.136
1986,"female",0,0.018,0.346,0.203
1987,"female",0,0.004,0.455,0.107
1988,"female",0,0.023,0.147,0.405
1989,"female",0.011,0.07,0.373,0.125
1990,"female",0.002,0.046,0.436,0.064
1991,"female",0.002,0.09,0.335,0.138
1992,"female",0.009,0.041,0.348,0.021
1993,"female",0,0.101,0.319,0.1
1994,"female",0,0.058,0.283,0.071
1995,"female",0.002,0.053,0.417,0.044
1996,"female",0.01,0.18,0.208,0.099
1997,"female",0.012,0.037,0.509,0.02
1998,"female",0.023,0.099,0.257,0.085
1999,"female",0,0.037,0.52,0.007
2000,"female",0.022,0.059,0.314,0.105
2001,"female",0,0.014,0.271,0.075
2002,"female",0.001,0.031,0.272,0.135
2003,"female",0.001,0.048,0.359,0.047
2004,"female",0,0.02,0.47,0.052
2005,"female",0,0.078,0.309,0.029
2006,"female",0.002,0.151,0.309,0.011
2007,"female",0.0051413881748072,0.06426735218509,0.359897172236504,0.0051413881748072
2007,"male",0.051413881748072,0.336760925449871,0.177377892030848,0
2008,"female",0,0.0853333333333333,0.245333333333333,0.0373333333333333
2008,"male",0.0266666666666667,0.477333333333333,0.12,0.008
2009,"female",0,0.035548686244204,0.360123647604328,0
2009,"male",0.0772797527047913,0.296754250386399,0.230293663060278,0
2010,"female",0,0.107142857142857,0.264880952380952,0.0327380952380952
2010,"male",0.0744047619047619,0.357142857142857,0.154761904761905,0.00892857142857143
2011,"female",0.00238095238095238,0.0666666666666667,0.388095238095238,0.0547619047619048
2011,"male",0.019047619047619,0.228571428571429,0.216666666666667,0.0238095238095238
2012,"female",0,0.0609756097560976,0.398373983739837,0.0365853658536585
2012,"male",0.0650406504065041,0.235772357723577,0.195121951219512,0.00813008130081301
2013,"female",0,0.0792452830188679,0.40377358490566,0.0339622641509434
2013,"male",0.0415094339622641,0.19622641509434,0.230188679245283,0.0150943396226415
2014,"female",0,0.0693069306930693,0.262376237623762,0.0198019801980198
2014,"male",0.0676567656765677,0.435643564356436,0.138613861386139,0.0066006600660066
2015,"female",0,0.0776699029126214,0.32470334412082,0.0183387270765912
2015,"male",0.111111111111111,0.266450916936354,0.19848975188781,0.00323624595469256
2016,"female",0,0.148648648648649,0.16966966966967,0.00600600600600601
2016,"male",0.0915915915915916,0.501501501501502,0.0825825825825826,0
2017,"female",0,0.136300417246175,0.361613351877608,0.0111265646731572
2017,"male",0.043115438108484,0.328233657858136,0.119610570236439,0
2018,"female",0.00142857142857143,0.0985714285714286,0.318571428571429,0.0157142857142857
2018,"male",0.101428571428571,0.331428571428571,0.131428571428571,0.00142857142857143
2019,"female",0,0.164259927797834,0.305054151624549,0.00902527075812274
2019,"male",0.0848375451263538,0.319494584837545,0.113718411552347,0.0036101083032491
2020,"female",0.0187353629976581,0.140515222482436,0.381733021077283,0.0187353629976581
2020,"male",0.0351288056206089,0.243559718969555,0.147540983606557,0.0140515222482436
2021,"female",0,0.073394495412844,0.345565749235474,0.0305810397553517
2021,"male",0.0214067278287462,0.379204892966361,0.140672782874618,0.00917431192660551
2022,"female",0.00840336134453781,0.0588235294117647,0.352941176470588,0.0252100840336134
2022,"male",0.0504201680672269,0.352941176470588,0.134453781512605,0.0168067226890756
2023,"female",0,0.0645161290322581,0.2,0.032258064516129
2023,"male",0.032258064516129,0.464516129032258,0.180645161290323,0.0258064516129032
2024,"female",0,0.0588235294117647,0.267379679144385,0.0213903743315508
2024,"male",0.117647058823529,0.401069518716578,0.133689839572193,0
