PROGRAM_CODE,PROJ_NAME,SPECIES_NAME,RUN_NAME,BROOD_YEAR,STOCK_NAME,STOCK_PROD_AREA_CODE,STOCK_CU_INDEX,STOCK_CU_NAME,STOCK_TYPE_CODE,REARING_TYPE_CODE,FACILITY_NAME,RELEASE_SITE_NAME,REL_CU_INDEX,REL_CU_NAME,RELEASE_STAGE_NAME,MRP_TAGCODE,RELEASE_YEAR,START_DATE,END_DATE,AVE_WEIGHT,PURPOSE_CODE,TRANSFER,RELEASE_COMMENT,RowNum,TaggedClip,TaggedNum,ShedTagNum,NoTagClip,NoTagNum,NoTagPartMarkNum,UnmarkedNum,TotalRelease,Status,Joe's Comment
AFS,Glenora Project,Chinook,Spring,2000,Tahltan R,TRAN,CK-60,STIKINE-EARLY TIMING,W,H,Tahltan River H,Dojatin Cr,,,Fed Fry,020604,2001,200105,200105,2,B,U,SIZE & DATE ESTIMATED.,1,AD,21172,463,,0,0,4654,26289,,
AFS,Glenora Project,Chinook,Spring,2001,Tahltan R,TRAN,CK-60,STIKINE-EARLY TIMING,W,H,Tahltan River H,Dojatin Cr,,,Fed Fry,181739,2002,20020523,20020523,1.8,B,U,SEE ALSO 181740,1,AD,10988,167,,0,0,965,12120,,
AFS,Glenora Project,Chinook,Spring,2001,Tahltan R,TRAN,CK-60,STIKINE-EARLY TIMING,W,H,Tahltan River H,Dojatin Cr,,,Fed Fry,181740,2002,20020523,20020523,1.8,B,U,SEE ALSO 181739.,1,AD,10922,166,,0,0,960,12048,,
DPI,Klukshu R/Alsek,Chinook,Spring,1991,Klukshu R,TRAN,CK-67,ALSEK,W,H,Klukshu River Inc,Klukshu R,CK-67,ALSEK,Fed Fry,180921,1992,19920814,19920814,3.04,B,N,TRANS-BOUNDARY; FED FRY RELEASE,1,AD,5695,0,,0,0,145,5840,,
DPI,Klukshu R/Alsek,Chinook,Spring,1992,Klukshu R,TRAN,CK-67,ALSEK,M,H,Klukshu River Inc,Klukshu R,CK-67,ALSEK,Fed Fry,0201010403,1993,19930619,19930619,1.1,B,N,TRANS-BOUNDARY; FED FRY RELEASE,1,AD,3667,217,,0,0,19,3903,,
DPI,Klukshu R/Alsek,Chinook,Spring,1994,Klukshu R,TRAN,CK-67,ALSEK,M,H,Klukshu River Inc,Klukshu R,CK-67,ALSEK,Fed Fry,0201010506,1995,19950626,19950626,0.9,B,N,TRANS-BOUNDARY; FED FRY RELEASE,1,AD,2143,161,,0,0,77,2381,,
DPI,Klukshu R/Alsek,Chinook,Spring,1995,Klukshu R,TRAN,CK-67,ALSEK,M,H,Klukshu River Inc,Klukshu R,CK-67,ALSEK,Fed Fry,0201010512,1996,19960701,19960701,0.7,B,N,SEE ALSO 0201010514.,1,AD,9983,1150,,0,0,631,11764,,
DPI,Klukshu R/Alsek,Chinook,Spring,1995,Klukshu R,TRAN,CK-67,ALSEK,M,H,Klukshu River Inc,Klukshu R,CK-67,ALSEK,Fed Fry,0201010514,1996,19960825,19960825,0.7,B,N,SEE ALSO 0201010512,1,AD,1712,303,,0,0,414,2429,,
PIP,Klondike R N,Chinook,Spring,1990,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,W,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010209,1991,19910628,19910628,0.74,B,N,FED FRY RELEASE- ALSO SEE 0201010212,1,AD,15247,173,,0,0,750,16170,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1990,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,W,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010212,1991,19910628,19910628,0.74,B,N,FED FRY RELEASE- ALSO SEE 0201010209,1,AD,13593,21,,0,0,650,14264,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
