Equation ,Formula 
Population Dynamics ,
(T4.1) Estimated Parameters ,"$\Theta = \left\{ \hat{R}_{sy},\ \hat{\mu}_s,\ \sigma_s,\ \varepsilon_{sy},\ \sum,\ q_{E,s,g},\ q_{I,s},\ \tau \right\}$"
"(T4.2) Arrival timing, y=1 ","$\mu_{s,1} = \widehat{\mu}_s$"
"(T4.3) Arrival timing, y>1 ","$\mu_{s,y} = \mu_{s,y-1}\exp(\varepsilon_{s,y-1})$"
(T4.4) Daily arrival proportions ,
(T4.5) Daily arrivals (numbers) ,$N_{syd} = \widehat{R}_{sy}\rho_{syd}$
Model predictions ,
(T4.6) Predicted daily counts ,$\widehat{E}_{sgyd}=q_g^{(E)}N_{syd}$
(T4.7) Predicted run size index ,$\widehat{I}_y=q^{(I)}\sum_s\widehat{R}_{sy}$
(T4.8) Predicted stock composition ,$p_{syd}=N_{syd}/\sum_jN_{jyd}$
Objective function ,
(T4.9) Mean and variance parameters for N.B. count likelihood ,$\eta_{gyd}=\sum_s\widehat{E}_{sgyd}$
,$\tau_{gyd}^2=\eta_{gyd}+\eta_{gyd}^2\phi_{gy}$
(T4.10) Re-parameterization of N.B. parameters ,$p_{gyd}=\eta_{gyd}/\tau_{gyd}^2$
,$r_{gyd}= \eta_{gyd}p_{gyd}(1-p_{gyd})$
(T4.11) N.B. NLL for daily counts ,$L_E=\sum_g\sum_y\sum_d[-\ln\Gamma(E_{gyd}+\eta_{gyd})+\ln\Gamma(\eta_{gyd})+\ln\Gamma(E_{gyd}+1)-\eta_{gyd}\ln(1-p_{gyd})]$
(T4.12) Multinomial NLL for stock composition ,$L_x=\sum_g\sum_y\sum_d[-\ln\Gamma(\sum_sx_{sgyd}+1)+\sum_s\ln\Gamma(x_{sgyd}+1)-\sum_sx_{sgyd}\ln(p_{syd})]$
(T4.13) Run size index std. dev. ,$\tau_y=\sqrt{\ln(CV_t^2+1)}$
(T4.14) Lognormal NLL for run size index ,$L_I=\sum_{y=1985}^{2008} \left[ \ln\tau_y+\frac{\ln2\pi}2+\frac{\left(\ln I_y  \;-\; \ln\widehat{I}_y\right)^2} {2\tau_y^2} \right]$
(T4.15) Multivariate-normal prior on process errors ,$L_\varepsilon=0.5 \left[ \ln|\Sigma| - \varepsilon^T \Sigma^{-1} \varepsilon - S\ln2\pi \right]$
(T4.16) Run size prior in fish wheel years ,"$L_R=\sum_{y=1985}^{2005} \left[ \ln1 + \frac{\ln2\pi}2 + \frac{ \left( \ln \widehat{R}_{sy} \;-\; \ln\widehat{R}_{s,y-1} \right)^2} {2} \right]$"
(T4.17) Objective function ,$L = L_E + L_x + L_I + L_\varepsilon + L_R$
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
