Stock Management Unit,Conservation Unit Indicator,Conservation Unit Name,Average Contribution (1985-2024)
YUKON CHINOOK SALMON,CK-68,Yukon River-Teslin headwaters,11.7%
,CK-69,Upper Yukon River,7.89%
,CK-70,Big Salmon,10%
,CK-71,Nordenskiold,3.78%
,CK-72,Pelly,18%
,CK-73,Middle Yukon River and tributaries,22.9%
,CK-74,Stewart,7.16%
,CK-75,White and tributaries,6.72%
,CK-76,North Yukon River and tributaries,11.8%
PORCUPINE CHINOOK SALMON,CK-77,Salmon Fork,N/A
,CK-78,Porcupine,N/A
,CK-79,Old Crow,N/A
